"","HD01_VD01","HD02_VD01","HD01_VD02","HD02_VD02","HD01_VD03","HD02_VD03","HD01_VD04","HD02_VD04","HD01_VD05","HD02_VD05","HD01_VD06","HD02_VD06","HD01_VD07","HD02_VD07","HD01_VD08","HD02_VD08","HD01_VD09","HD02_VD09","HD01_VD10","HD02_VD10","HD01_VD11","HD02_VD11","HD01_VD12","HD02_VD12","HD01_VD13","HD02_VD13","HD01_VD14","HD02_VD14","HD01_VD15","HD02_VD15","HD01_VD16","HD02_VD16","HD01_VD17","HD02_VD17","HD01_VD18","HD02_VD18","HD01_VD19","HD02_VD19","HD01_VD20","HD02_VD20","HD01_VD21","HD02_VD21","HD01_VD22","HD02_VD22","HD01_VD23","HD02_VD23","HD01_VD24","HD02_VD24","HD01_VD25","HD02_VD25"
"1","14627","435","1658","805","914","708","485","413","429","564","0","200","744","444","744","444","0","200","2807","1067","2468","1066","1592","795","876","703","0","200","339","261","285","238","54","95","10162","1245","9346","1196","7432","1133","1130","658","784","566","816","544","780","539","36","57"
"2","83974","1408","7073","1924","3328","1434","2077","1231","972","658","279","380","3745","1161","3427","1146","318","267","16075","3097","9877","2535","5751","1872","3874","2028","252","285","6198","2237","4725","2081","1473","1104","60826","3262","50939","3649","40903","3486","5105","2460","4931","1370","9887","2174","9147","2129","740","535"
"3","13920","317","2330","939","864","680","481","435","383","472","0","200","1466","813","1466","813","0","200","5555","1246","4103","1073","3170","824","474","437","459","555","1452","884","1452","884","0","200","6035","1135","4477","1094","3906","996","255","277","316","300","1377","784","1259","757","118","190"
"4","64313","1308","15722","3262","5580","2491","3604","1624","1780","1828","196","254","10142","2389","9619","2260","523","625","16337","2888","12112","2616","10063","2649","1705","1125","344","569","4225","1343","4014","1376","211","240","32254","3188","26085","3301","22983","3171","1412","670","1690","705","6169","1588","5397","1527","772","477"
"5","25570","1329","7469","2148","2754","1575","2394","1544","360","421","0","200","4715","1801","4569","1793","146","216","6630","2107","3650","1704","2463","1232","479","468","708","1048","2980","1305","2596","1232","384","477","11471","2004","9470","1911","8994","2012","0","200","476","342","2001","881","2001","881","0","200"
"6","80159","1169","23962","4227","9431","3526","2366","1335","6141","3468","924","859","14531","3543","9245","2491","5286","2222","21494","3636","14108","2668","6136","1757","6264","1820","1708","1182","7386","2590","5422","2218","1964","1220","34703","4217","28806","4169","21583","3327","4652","1762","2571","1543","5897","1365","5532","1297","365","457"
"7","142908","2396","32325","4666","11772","3338","2286","1273","8540","3167","946","732","20553","3594","14726","3444","5827","1743","25586","3445","13465","3147","5432","1964","7150","2813","883","724","12121","2894","8680","2225","3441","1492","84997","3817","67527","4134","50937","3981","9586","2463","7004","1392","17163","3166","15216","2796","1947","1032"
"8","17622","377","5123","1679","2144","1303","1782","1201","362","633","0","200","2979","1210","2979","1210","0","200","3286","1542","1300","813","1169","786","0","200","131","200","1986","1281","894","604","1092","1092","9213","1836","8276","1859","7153","1768","1123","1074","0","200","937","517","937","517","0","200"
"9","18447","729","3846","1309","813","777","392","441","421","637","0","200","3033","1194","2366","919","667","1005","5282","1522","2932","1104","1377","649","298","337","1257","911","2350","1121","1615","900","735","634","9319","1577","7288","1370","5743","1151","1114","697","431","377","2031","900","1764","836","267","353"
"10","132844","1242","17801","3329","8293","2505","3048","1513","3832","1772","1413","1308","9415","2473","5324","1692","4091","1738","31949","4379","22231","4353","8581","2434","9619","3047","4031","2440","9579","2754","4935","1562","4644","2269","83094","4335","72612","4546","51473","4078","12571","2304","8568","1940","10381","1958","8783","1744","1598","886"
"11","23100","458","3766","1320","2246","1055","1590","950","596","555","60","99","1520","898","1362","823","158","257","6292","1909","3474","1258","2313","1141","845","666","316","422","2818","1541","2337","1327","481","661","13042","1823","11681","1888","8903","1845","1449","844","1329","917","1361","696","1151","543","210","349"
