"","fips","HD01_VD02","HD01_VD04","HD01_VD05","HD01_VD06","HD01_VD08","HD01_VD10","HD01_VD11","HD01_VD12","HD01_VD14","HD01_VD15","HD01_VD16"
"1","Id2","Estimate; Median family income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Total:","Estimate; Median family income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Married-couple family -- - Total","Estimate; Median family income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Married-couple family -- - With own children under 18 years","Estimate; Median family income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Married-couple family -- - No own children under 18 years","Estimate; Median family income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Other family -- - Total","Estimate; Median family income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Other family -- - Male householder, no wife present -- - Total","Estimate; Median family income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Other family -- - Male householder, no wife present -- - With own children under 18 years","Estimate; Median family income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Other family -- - Male householder, no wife present -- - No own children under 18 years","Estimate; Median family income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Other family -- - Female householder, no husband present -- - Total","Estimate; Median family income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Other family -- - Female householder, no husband present -- - With own children under 18 years","Estimate; Median family income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Other family -- - Female householder, no husband present -- - No own children under 18 years"
"2","41001","51199","58029","59524","57759","18750","45000","16510","58188","16835","13470","25714"
"3","41003","75012","83858","90158","81868","30813","31531","30383","40521","30451","24547","40754"
"4","41005","76549","86772","90884","83792","42068","55131","49265","59220","37794","28931","53700"
"5","41007","54849","66394","69681","64002","24878","32864","32218","34191","22645","16752","34414"
"6","41009","63435","72086","77682","67374","30366","36783","33555","44231","26921","21338","41429"
"7","41011","47830","53430","60815","50829","26680","40335","32159","42439","23071","18125","30960"
"8","41013","48486","51524","48529","54096","25862","32661","31969","50729","18490","15714","31200"
"9","41015","48833","53585","47413","54953","26667","28409","26372","77684","20000","12246","32206"
"10","41017","61488","68965","74075","65823","30450","33571","27468","46820","29038","23042","38131"
"11","41019","48420","56149","58851","55288","27001","34583","28333","37898","24340","19321","33054"
"12","41021","56667","65139","65313","65066","26125","28906","28906","-","25000","27917","24688"
"13","41023","46000","51814","63077","49510","19545","19348","19728","16528","20000","13884","44375"
"14","41025","42540","46351","51250","43889","26667","38750","92988","26875","24347","23258","27396"
"15","41027","64422","74479","73931","75549","40303","44444","60382","43935","34755","33006","46979"
"16","41029","53254","63000","65220","62131","27431","32309","25851","51045","25960","22598","31168"
"17","41031","46040","56110","50982","56881","27332","33886","26786","42841","24206","14524","44271"
"18","41033","46913","54122","59444","52087","27002","28096","18800","45667","26365","17978","36173"
"19","41035","48896","59758","62909","58596","27854","34813","28568","46635","25311","21280","32500"
"20","41037","47537","53984","57250","50764","21402","30938","43214","19398","20844","10875","24375"
"21","41039","56605","66782","68752","65804","29046","31634","29045","36823","27165","20669","37026"
"22","41041","53750","62847","64591","62293","28515","36557","32125","50441","24897","23136","28726"
"23","41043","55169","63086","65940","61202","26930","38352","35000","39937","23596","19750","32332"
"24","41045","45825","54088","52659","55490","19704","24324","19828","41111","18160","12976","24405"
"25","41047","54920","65190","61969","67507","31296","40318","34591","47332","28634","21201","42595"
"26","41049","52652","62083","57260","66250","21654","24688","16964","47083","19583","16711","30066"
"27","41051","65897","80617","82708","78943","34480","44301","38977","48262","31330","22176","44107"
"28","41053","62802","71208","69753","71728","31912","46750","26678","82386","29896","25200","40076"
"29","41055","57115","63906","82708","56250","19167","16667","11458","26250","19444","14063","27083"
"30","41057","51235","56323","54306","57442","33241","42813","36607","52685","27792","20592","31438"
"31","41059","57434","66859","67266","66361","32077","51639","37885","58409","24700","16636","52604"
"32","41061","51973","58376","58941","58074","26644","37188","30192","50357","25542","16776","43264"
"33","41063","54513","59500","65000","57713","33125","29167","17143","85536","34375","31094","38500"
"34","41065","53598","64029","59618","65380","29643","32104","31061","36359","27461","23208","35563"
"35","41067","76711","87747","91196","85287","39121","48802","44167","54424","35045","27129","49273"
"36","41069","46875","46953","60417","45703","34583","49167","30833","-","32917","6875","34167"
"37","41071","62284","71680","75176","69597","33816","34832","33650","43531","32321","23449","46308"
