"","fips","HD01_VD01","HD01_VD02","HD01_VD03","HD01_VD04","HD01_VD05","HD01_VD06","HD01_VD07","HD01_VD08","HD01_VD09","HD01_VD10","HD01_VD11","HD01_VD12","HD01_VD13","HD01_VD14","HD01_VD15","HD01_VD16","HD01_VD17","HD01_VD18","HD01_VD19","HD01_VD20","HD01_VD21","HD01_VD22","HD01_VD23","HD01_VD24","HD01_VD25","HD01_VD26","HD01_VD27","HD01_VD28","HD01_VD29","HD01_VD30","HD01_VD31","HD01_VD32","HD01_VD33","HD01_VD34","HD01_VD35","HD01_VD36","HD01_VD37","HD01_VD38","HD01_VD39","HD01_VD40","HD01_VD41","HD01_VD42","HD01_VD43","HD01_VD44","HD01_VD45","HD01_VD46","HD01_VD47","HD01_VD48","HD01_VD49","HD01_VD50","HD01_VD51","HD01_VD52","HD01_VD53","HD01_VD54","HD01_VD55","HD01_VD56","HD01_VD57","HD01_VD58","HD01_VD59","HD01_VD60","HD01_VD61","HD01_VD62","HD01_VD63","HD01_VD64","HD01_VD65","HD01_VD66","HD01_VD67","HD01_VD68","HD01_VD69","HD01_VD70","HD01_VD71","HD01_VD72","HD01_VD73","HD01_VD74","HD01_VD75","HD01_VD76","HD01_VD77","HD01_VD78","HD01_VD79","HD01_VD80","HD01_VD81","HD01_VD82","HD01_VD83","HD01_VD84","HD01_VD85","HD01_VD86","HD01_VD87","HD01_VD88","HD01_VD89","HD01_VD90","HD01_VD91","HD01_VD92","HD01_VD93","HD01_VD94","HD01_VD95","HD01_VD96","HD01_VD97","HD01_VD98","HD01_VD99","HD01_VD100","HD01_VD101","HD01_VD102","HD01_VD103","HD01_VD104","HD01_VD105","HD01_VD106","HD01_VD107"
"1","Id2","Estimate; Total:","Estimate; Married-couple family:","Estimate; Married-couple family: - With own children under 18 years:","Estimate; Married-couple family: - With own children under 18 years: - Less than $10,000","Estimate; Married-couple family: - With own children under 18 years: - $10,000 to $14,999","Estimate; Married-couple family: - With own children under 18 years: - $15,000 to $19,999","Estimate; Married-couple family: - With own children under 18 years: - $20,000 to $24,999","Estimate; Married-couple family: - With own children under 18 years: - $25,000 to $29,999","Estimate; Married-couple family: - With own children under 18 years: - $30,000 to $34,999","Estimate; Married-couple family: - With own children under 18 years: - $35,000 to $39,999","Estimate; Married-couple family: - With own children under 18 years: - $40,000 to $44,999","Estimate; Married-couple family: - With own children under 18 years: - $45,000 to $49,999","Estimate; Married-couple family: - With own children under 18 years: - $50,000 to $59,999","Estimate; Married-couple family: - With own children under 18 years: - $60,000 to $74,999","Estimate; Married-couple family: - With own children under 18 years: - $75,000 to $99,999","Estimate; Married-couple family: - With own children under 18 years: - $100,000 to $124,999","Estimate; Married-couple family: - With own children under 18 years: - $125,000 to $149,999","Estimate; Married-couple family: - With own children under 18 years: - $150,000 to $199,999","Estimate; Married-couple family: - With own children under 18 years: - $200,000 or more","Estimate; Married-couple family: - No own children under 18 years:","Estimate; Married-couple family: - No own children under 18 years: - Less than $10,000","Estimate; Married-couple family: - No own children under 18 years: - $10,000 to $14,999","Estimate; Married-couple family: - No own children under 18 years: - $15,000 to $19,999","Estimate; Married-couple family: - No own children under 18 years: - $20,000 to $24,999","Estimate; Married-couple family: - No own children under 18 years: - $25,000 to $29,999","Estimate; Married-couple family: - No own children under 18 years: - $30,000 to $34,999","Estimate; Married-couple family: - No own children under 18 years: - $35,000 to $39,999","Estimate; Married-couple family: - No own children under 18 years: - $40,000 to $44,999","Estimate; Married-couple family: - No own children under 18 years: - $45,000 to $49,999","Estimate; Married-couple family: - No own children under 18 years: - $50,000 to $59,999","Estimate; Married-couple family: - No own children under 18 years: - $60,000 to $74,999","Estimate; Married-couple family: - No own children under 18 years: - $75,000 to $99,999","Estimate; Married-couple family: - No own children under 18 years: - $100,000 to $124,999","Estimate; Married-couple family: - No own children under 18 years: - $125,000 to $149,999","Estimate; Married-couple family: - No own children under 18 years: - $150,000 to $199,999","Estimate; Married-couple family: - No own children under 18 years: - $200,000 or more","Estimate; Other family:","Estimate; Other family: - Male householder, no wife present:","Estimate; Other family: - Male householder, no wife present: - With own children under 18 years:","Estimate; Other family: - Male householder, no wife present: - With own children under 18 years: - Less than $10,000","Estimate; Other family: - Male householder, no wife present: - With own children under 18 years: - $10,000 to $14,999","Estimate; Other family: - Male householder, no wife present: - With own children under 18 years: - $15,000 to $19,999","Estimate; Other family: - Male householder, no wife present: - With own children under 18 years: - $20,000 to $24,999","Estimate; Other family: - Male householder, no wife present: - With own children under 18 years: - $25,000 to $29,999","Estimate; Other family: - Male householder, no wife present: - With own children under 18 years: - $30,000 to $34,999","Estimate; Other family: - Male householder, no wife present: - With own children under 18 years: - $35,000 to $39,999","Estimate; Other family: - Male householder, no wife present: - With own children under 18 years: - $40,000 to $44,999","Estimate; Other family: - Male householder, no wife present: - With own children under 18 years: - $45,000 to $49,999","Estimate; Other family: - Male householder, no wife present: - With own children under 18 years: - $50,000 to $59,999","Estimate; Other family: - Male householder, no wife present: - With own children under 18 years: - $60,000 to $74,999","Estimate; Other family: - Male householder, no wife present: - With own children under 18 years: - $75,000 to $99,999","Estimate; Other family: - Male householder, no wife present: - With own children under 18 years: - $100,000 to $124,999","Estimate; Other family: - Male householder, no wife present: - With own children under 18 years: - $125,000 to $149,999","Estimate; Other family: - Male householder, no wife present: - With own children under 18 years: - $150,000 to $199,999","Estimate; Other family: - Male householder, no wife present: - With own children under 18 years: - $200,000 or more","Estimate; Other family: - Male householder, no wife present: - No own children under 18 years:","Estimate; Other family: - Male householder, no wife present: - No own children under 18 years: - Less than $10,000","Estimate; Other family: - Male householder, no wife present: - No own children under 18 years: - $10,000 to $14,999","Estimate; Other family: - Male householder, no wife present: - No own children under 18 years: - $15,000 to $19,999","Estimate; Other family: - Male householder, no wife present: - No own children under 18 years: - $20,000 to $24,999","Estimate; Other family: - Male householder, no wife present: - No own children under 18 years: - $25,000 to $29,999","Estimate; Other family: - Male householder, no wife present: - No own children under 18 years: - $30,000 to $34,999","Estimate; Other family: - Male householder, no wife present: - No own children under 18 years: - $35,000 to $39,999","Estimate; Other family: - Male householder, no wife present: - No own children under 18 years: - $40,000 to $44,999","Estimate; Other family: - Male householder, no wife present: - No own children under 18 years: - $45,000 to $49,999","Estimate; Other family: - Male householder, no wife present: - No own children under 18 years: - $50,000 to $59,999","Estimate; Other family: - Male householder, no wife present: - No own children under 18 years: - $60,000 to $74,999","Estimate; Other family: - Male householder, no wife present: - No own children under 18 years: - $75,000 to $99,999","Estimate; Other family: - Male householder, no wife present: - No own children under 18 years: - $100,000 to $124,999","Estimate; Other family: - Male householder, no wife present: - No own children under 18 years: - $125,000 to $149,999","Estimate; Other family: - Male householder, no wife present: - No own children under 18 years: - $150,000 to $199,999","Estimate; Other family: - Male householder, no wife present: - No own children under 18 years: - $200,000 or more","Estimate; Other family: - Female householder, no husband present:","Estimate; Other family: - Female householder, no husband present: - With own children under 18 years:","Estimate; Other family: - Female householder, no husband present: - With own children under 18 years: - Less than $10,000","Estimate; Other family: - Female householder, no husband present: - With own children under 18 years: - $10,000 to $14,999","Estimate; Other family: - Female householder, no husband present: - With own children under 18 years: - $15,000 to $19,999","Estimate; Other family: - Female householder, no husband present: - With own children under 18 years: - $20,000 to $24,999","Estimate; Other family: - Female householder, no husband present: - With own children under 18 years: - $25,000 to $29,999","Estimate; Other family: - Female householder, no husband present: - With own children under 18 years: - $30,000 to $34,999","Estimate; Other family: - Female householder, no husband present: - With own children under 18 years: - $35,000 to $39,999","Estimate; Other family: - Female householder, no husband present: - With own children under 18 years: - $40,000 to $44,999","Estimate; Other family: - Female householder, no husband present: - With own children under 18 years: - $45,000 to $49,999","Estimate; Other family: - Female householder, no husband present: - With own children under 18 years: - $50,000 to $59,999","Estimate; Other family: - Female householder, no husband present: - With own children under 18 years: - $60,000 to $74,999","Estimate; Other family: - Female householder, no husband present: - With own children under 18 years: - $75,000 to $99,999","Estimate; Other family: - Female householder, no husband present: - With own children under 18 years: - $100,000 to $124,999","Estimate; Other family: - Female householder, no husband present: - With own children under 18 years: - $125,000 to $149,999","Estimate; Other family: - Female householder, no husband present: - With own children under 18 years: - $150,000 to $199,999","Estimate; Other family: - Female householder, no husband present: - With own children under 18 years: - $200,000 or more","Estimate; Other family: - Female householder, no husband present: - No own children under 18 years:","Estimate; Other family: - Female householder, no husband present: - No own children under 18 years: - Less than $10,000","Estimate; Other family: - Female householder, no husband present: - No own children under 18 years: - $10,000 to $14,999","Estimate; Other family: - Female householder, no husband present: - No own children under 18 years: - $15,000 to $19,999","Estimate; Other family: - Female householder, no husband present: - No own children under 18 years: - $20,000 to $24,999","Estimate; Other family: - Female householder, no husband present: - No own children under 18 years: - $25,000 to $29,999","Estimate; Other family: - Female householder, no husband present: - No own children under 18 years: - $30,000 to $34,999","Estimate; Other family: - Female householder, no husband present: - No own children under 18 years: - $35,000 to $39,999","Estimate; Other family: - Female householder, no husband present: - No own children under 18 years: - $40,000 to $44,999","Estimate; Other family: - Female householder, no husband present: - No own children under 18 years: - $45,000 to $49,999","Estimate; Other family: - Female householder, no husband present: - No own children under 18 years: - $50,000 to $59,999","Estimate; Other family: - Female householder, no husband present: - No own children under 18 years: - $60,000 to $74,999","Estimate; Other family: - Female householder, no husband present: - No own children under 18 years: - $75,000 to $99,999","Estimate; Other family: - Female householder, no husband present: - No own children under 18 years: - $100,000 to $124,999","Estimate; Other family: - Female householder, no husband present: - No own children under 18 years: - $125,000 to $149,999","Estimate; Other family: - Female householder, no husband present: - No own children under 18 years: - $150,000 to $199,999","Estimate; Other family: - Female householder, no husband present: - No own children under 18 years: - $200,000 or more"
"2","41001","4603","3792","1096","16","12","33","88","37","52","41","96","69","108","196","176","64","40","19","49","2696","33","65","102","171","128","159","112","151","207","324","377","415","193","139","53","67","811","196","103","37","0","24","6","0","0","0","4","13","5","12","0","2","0","0","0","93","4","9","0","0","13","0","0","1","0","34","6","0","0","26","0","0","615","431","123","128","52","8","46","24","12","6","9","17","6","0","0","0","0","0","184","11","11","18","44","46","1","0","12","9","6","19","0","0","7","0","0"
"3","41003","18698","15325","5595","76","77","110","189","211","183","201","172","169","315","449","1050","927","522","515","429","9730","128","110","256","255","248","249","363","366","439","665","1163","1811","1361","863","795","658","3373","846","421","70","13","0","15","105","49","0","0","10","46","32","28","16","0","37","0","425","111","29","21","20","9","0","20","77","28","14","79","0","0","5","12","0","2527","1420","288","200","44","199","148","65","109","66","41","13","111","84","46","0","0","6","1107","168","37","69","65","28","101","65","79","65","142","102","109","41","7","15","14"
"4","41005","101963","81180","32396","388","379","428","813","756","914","731","1016","976","2391","3441","6185","4381","3246","3036","3315","48784","596","523","656","1085","1202","1586","1703","1950","1955","3510","6177","8915","6744","4062","4721","3399","20783","6457","3490","273","50","179","319","133","226","144","174","277","328","469","415","265","39","79","120","2967","138","31","109","146","96","150","222","131","176","336","397","542","168","160","105","60","14326","8292","1809","611","587","473","855","634","576","497","356","586","573","415","232","8","6","74","6034","215","207","308","373","343","283","430","358","301","639","975","827","374","141","214","46"
"5","41007","9878","7546","2387","21","29","112","129","95","42","123","64","141","200","333","490","319","128","50","111","5159","94","92","128","207","207","291","311","297","256","462","782","915","430","299","231","157","2332","634","445","21","72","12","49","41","69","10","8","0","19","59","31","54","0","0","0","189","13","15","6","8","30","28","15","20","0","6","6","13","21","0","8","0","1698","956","260","129","174","147","41","44","50","53","17","32","0","9","0","0","0","0","742","46","6","92","125","34","83","39","72","15","36","79","78","22","0","0","15"
"6","41009","13725","10862","3656","79","70","69","127","62","157","145","83","30","285","620","754","589","258","236","92","7206","61","67","119","243","200","276","362","424","462","854","955","1102","972","516","326","267","2863","859","559","105","0","37","73","51","32","37","3","22","93","50","43","0","13","0","0","300","0","0","0","57","17","9","49","26","9","29","19","53","0","32","0","0","2004","1238","318","143","82","195","112","59","73","35","0","73","100","42","6","0","0","0","766","25","71","66","39","26","80","48","96","37","57","69","84","41","13","0","14"
"7","41011","15899","12294","3391","104","3","109","146","195","130","116","179","269","394","487","562","288","155","138","116","8903","196","242","337","406","543","587","741","711","597","872","1149","1277","518","186","327","214","3605","1059","399","56","32","7","51","44","30","14","7","66","55","17","0","5","15","0","0","660","33","47","68","51","49","16","26","84","0","99","110","34","43","0","0","0","2546","1215","310","168","152","246","22","68","58","0","160","9","0","22","0","0","0","0","1331","49","175","166","88","166","129","87","21","69","118","41","89","46","66","0","21"
"8","41013","6041","4901","1512","65","51","182","77","72","115","47","83","104","217","200","146","119","1","33","0","3389","87","116","109","229","169","287","117","224","194","415","382","409","292","181","135","43","1140","420","205","35","9","27","0","0","71","29","0","0","0","0","34","0","0","0","0","215","9","0","56","0","12","20","0","0","7","77","23","0","0","0","0","11","720","392","155","15","102","0","63","0","6","11","0","10","0","30","0","0","0","0","328","15","0","102","35","0","25","17","0","29","38","41","26","0","0","0","0"
"9","41015","6164","5066","970","36","21","26","22","10","0","192","39","144","43","69","61","182","22","86","17","4096","27","31","207","265","287","106","383","297","224","328","532","843","382","62","73","49","1098","434","277","12","0","41","46","85","30","7","36","0","0","0","6","14","0","0","0","157","0","0","0","34","20","0","5","0","6","0","9","72","0","0","0","11","664","272","83","59","39","21","0","14","0","13","0","0","23","20","0","0","0","0","392","44","51","56","15","0","47","14","18","46","3","45","53","0","0","0","0"
"10","41017","43353","34757","12741","263","178","202","659","495","528","562","424","348","910","1962","2154","1631","976","708","741","22016","528","573","666","879","795","970","1005","1152","1229","1799","3325","3497","2303","1305","1110","880","8596","2870","1875","296","204","218","105","181","115","95","81","18","106","276","82","57","35","0","6","995","8","95","45","91","37","108","19","53","73","106","232","35","39","17","0","37","5726","3359","805","272","399","415","259","249","236","177","128","82","85","196","23","18","0","15","2367","173","161","106","163","205","202","323","174","76","184","198","256","113","0","4","29"
