"","fips","HD01_VD01","HD01_VD02","HD01_VD03","HD01_VD04","HD01_VD05","HD01_VD06","HD01_VD07","HD01_VD08","HD01_VD09","HD01_VD10","HD01_VD11","HD01_VD12","HD01_VD13","HD01_VD14","HD01_VD15","HD01_VD16","HD01_VD17","HD01_VD18","HD01_VD19","HD01_VD20","HD01_VD21","HD01_VD22","HD01_VD23","HD01_VD24","HD01_VD25","HD01_VD26","HD01_VD27","HD01_VD28","HD01_VD29","HD01_VD30","HD01_VD31","HD01_VD32","HD01_VD33","HD01_VD34","HD01_VD35","HD01_VD36","HD01_VD37","HD01_VD38","HD01_VD39","HD01_VD40","HD01_VD41","HD01_VD42","HD01_VD43"
"1","Id2","Estimate; Total:","Estimate; Total: - With own children under 18 years:","Estimate; Total: - With own children under 18 years: - Married-couple family:","Estimate; Total: - With own children under 18 years: - Married-couple family: - No workers","Estimate; Total: - With own children under 18 years: - Married-couple family: - 1 worker","Estimate; Total: - With own children under 18 years: - Married-couple family: - 2 workers:","Estimate; Total: - With own children under 18 years: - Married-couple family: - 2 workers: - Husband and wife worked","Estimate; Total: - With own children under 18 years: - Married-couple family: - 2 workers: - Other","Estimate; Total: - With own children under 18 years: - Married-couple family: - 3 or more workers:","Estimate; Total: - With own children under 18 years: - Married-couple family: - 3 or more workers: - Husband and wife worked","Estimate; Total: - With own children under 18 years: - Married-couple family: - 3 or more workers: - Other","Estimate; Total: - With own children under 18 years: - Other family:","Estimate; Total: - With own children under 18 years: - Other family: - Male householder, no wife present:","Estimate; Total: - With own children under 18 years: - Other family: - Male householder, no wife present: - No workers","Estimate; Total: - With own children under 18 years: - Other family: - Male householder, no wife present: - 1 worker","Estimate; Total: - With own children under 18 years: - Other family: - Male householder, no wife present: - 2 workers","Estimate; Total: - With own children under 18 years: - Other family: - Male householder, no wife present: - 3 or more workers","Estimate; Total: - With own children under 18 years: - Other family: - Female householder, no husband present:","Estimate; Total: - With own children under 18 years: - Other family: - Female householder, no husband present: - No workers","Estimate; Total: - With own children under 18 years: - Other family: - Female householder, no husband present: - 1 worker","Estimate; Total: - With own children under 18 years: - Other family: - Female householder, no husband present: - 2 workers","Estimate; Total: - With own children under 18 years: - Other family: - Female householder, no husband present: - 3 or more workers","Estimate; Total: - No children under 18 years:","Estimate; Total: - No children under 18 years: - Married-couple family:","Estimate; Total: - No children under 18 years: - Married-couple family: - No workers","Estimate; Total: - No children under 18 years: - Married-couple family: - 1 worker","Estimate; Total: - No children under 18 years: - Married-couple family: - 2 workers:","Estimate; Total: - No children under 18 years: - Married-couple family: - 2 workers: - Husband and wife worked","Estimate; Total: - No children under 18 years: - Married-couple family: - 2 workers: - Other","Estimate; Total: - No children under 18 years: - Married-couple family: - 3 or more workers:","Estimate; Total: - No children under 18 years: - Married-couple family: - 3 or more workers: - Husband and wife worked","Estimate; Total: - No children under 18 years: - Married-couple family: - 3 or more workers: - Other","Estimate; Total: - No children under 18 years: - Other family:","Estimate; Total: - No children under 18 years: - Other family: - Male householder, no wife present:","Estimate; Total: - No children under 18 years: - Other family: - Male householder, no wife present: - No workers","Estimate; Total: - No children under 18 years: - Other family: - Male householder, no wife present: - 1 worker","Estimate; Total: - No children under 18 years: - Other family: - Male householder, no wife present: - 2 workers","Estimate; Total: - No children under 18 years: - Other family: - Male householder, no wife present: - 3 or more workers","Estimate; Total: - No children under 18 years: - Other family: - Female householder, no husband present:","Estimate; Total: - No children under 18 years: - Other family: - Female householder, no husband present: - No workers","Estimate; Total: - No children under 18 years: - Other family: - Female householder, no husband present: - 1 worker","Estimate; Total: - No children under 18 years: - Other family: - Female householder, no husband present: - 2 workers","Estimate; Total: - No children under 18 years: - Other family: - Female householder, no husband present: - 3 or more workers"
"2","41001","4603","1630","1096","42","203","737","736","1","114","114","0","534","103","23","67","13","0","431","42","370","19","0","2973","2696","877","605","1094","1030","64","120","118","2","277","93","34","44","15","0","184","30","131","22","1"
"3","41003","18698","7436","5595","172","1387","3313","3192","121","723","689","34","1841","421","30","287","96","8","1420","293","924","149","54","11262","9730","2326","2534","4029","3763","266","841","806","35","1532","425","164","82","167","12","1107","165","346","496","100"
"4","41005","101963","44178","32396","348","8646","18508","17422","1086","4894","4516","378","11782","3490","194","2727","384","185","8292","1508","5478","1203","103","57785","48784","11315","12066","20029","18071","1958","5374","4745","629","9001","2967","370","1093","1242","262","6034","919","2214","2259","642"
"5","41007","9878","3788","2387","0","424","1467","1269","198","496","473","23","1401","445","13","309","123","0","956","294","455","147","60","6090","5159","1348","1249","2241","2123","118","321","310","11","931","189","50","87","30","22","742","110","362","231","39"
"6","41009","13725","5453","3656","78","1055","2031","1900","131","492","454","38","1797","559","34","518","7","0","1238","175","976","81","6","8272","7206","1819","1922","2930","2708","222","535","442","93","1066","300","74","100","92","34","766","186","239","279","62"
"7","41011","15899","5005","3391","123","790","2145","2071","74","333","325","8","1614","399","71","315","13","0","1215","263","805","141","6","10894","8903","3068","2478","2925","2646","279","432","399","33","1991","660","140","313","172","35","1331","308","631","299","93"
"8","41013","6041","2109","1512","90","469","871","827","44","82","82","0","597","205","33","140","32","0","392","72","273","47","0","3932","3389","1161","963","1143","1110","33","122","97","25","543","215","24","34","157","0","328","89","137","88","14"
"9","41015","6164","1519","970","57","177","607","607","0","129","129","0","549","277","20","251","6","0","272","56","203","13","0","4645","4096","1926","899","1078","944","134","193","174","19","549","157","31","39","87","0","392","106","150","125","11"
"10","41017","43353","17975","12741","260","3016","8019","7633","386","1446","1392","54","5234","1875","141","1455","241","38","3359","551","2197","558","53","25378","22016","7165","5355","8479","8052","427","1017","861","156","3362","995","214","286","495","0","2367","429","826","854","258"
"11","41019","29217","9857","6217","253","1714","3387","3190","197","863","845","18","3640","1064","184","779","81","20","2576","504","1745","240","87","19360","16261","5553","5005","4857","4368","489","846","774","72","3099","1048","323","347","332","46","2051","596","895","546","14"
"12","41021","532","179","120","4","26","63","60","3","27","27","0","59","21","6","15","0","0","38","0","38","0","0","353","315","71","88","133","130","3","23","23","0","38","0","0","0","0","0","38","19","10","8","1"
"13","41023","2126","728","474","18","60","326","321","5","70","66","4","254","81","1","54","15","11","173","42","103","28","0","1398","1298","454","372","438","433","5","34","28","6","100","39","15","16","8","0","61","4","38","19","0"
