"","fips","familyCode","ageAdjustment","marriedUnder6","marriedOver6","marriedBoth","unmarriedUnder6","unmarriedOver6","unmarriedBoth"
"1",41,"a1i2p0s0t0",0.25,0.233,0.551,0.216,0.767,0.449,0.784
"2",41,"a1i1p1s0t0",0.5,0.233,0.551,0.216,0.767,0.449,0.784
"3",41,"a1i1p0s1t0",0.2692,0.233,0.551,0.216,0.767,0.449,0.784
"4",41,"a1i1p0s0t1",0.2308,0.233,0.551,0.216,0.767,0.449,0.784
"5",41,"a1i0p2s0t0",0.25,0.233,0.551,0.216,0.767,0.449,0.784
"6",41,"a1i0p1s1t0",0.2692,0.233,0.551,0.216,0.767,0.449,0.784
"7",41,"a1i0p1s0t1",0.2308,0.233,0.551,0.216,0.767,0.449,0.784
"8",41,"a1i0p0s2t0",0.2899,0.233,0.551,0.216,0.767,0.449,0.784
"9",41,"a1i0p0s1t1",0.497,0.233,0.551,0.216,0.767,0.449,0.784
"10",41,"a1i0p0s0t2",0.213,0.233,0.551,0.216,0.767,0.449,0.784
"11",41,"a2i2p0s0t0",0.25,0.233,0.551,0.216,0.767,0.449,0.784
"12",41,"a2i1p1s0t0",0.5,0.233,0.551,0.216,0.767,0.449,0.784
"13",41,"a2i1p0s1t0",0.2692,0.233,0.551,0.216,0.767,0.449,0.784
"14",41,"a2i1p0s0t1",0.2308,0.233,0.551,0.216,0.767,0.449,0.784
"15",41,"a2i0p2s0t0",0.25,0.233,0.551,0.216,0.767,0.449,0.784
"16",41,"a2i0p1s1t0",0.2692,0.233,0.551,0.216,0.767,0.449,0.784
"17",41,"a2i0p1s0t1",0.2308,0.233,0.551,0.216,0.767,0.449,0.784
"18",41,"a2i0p0s2t0",0.2899,0.233,0.551,0.216,0.767,0.449,0.784
"19",41,"a2i0p0s1t1",0.497,0.233,0.551,0.216,0.767,0.449,0.784
"20",41,"a2i0p0s0t2",0.213,0.233,0.551,0.216,0.767,0.449,0.784
"21",41001,"a1i2p0s0t0",0.25,0.237,0.568,0.194,0.763,0.432,0.806
"22",41001,"a1i1p1s0t0",0.5,0.237,0.568,0.194,0.763,0.432,0.806
"23",41001,"a1i1p0s1t0",0.2692,0.237,0.568,0.194,0.763,0.432,0.806
"24",41001,"a1i1p0s0t1",0.2308,0.237,0.568,0.194,0.763,0.432,0.806
"25",41001,"a1i0p2s0t0",0.25,0.237,0.568,0.194,0.763,0.432,0.806
"26",41001,"a1i0p1s1t0",0.2692,0.237,0.568,0.194,0.763,0.432,0.806
"27",41001,"a1i0p1s0t1",0.2308,0.237,0.568,0.194,0.763,0.432,0.806
"28",41001,"a1i0p0s2t0",0.2899,0.237,0.568,0.194,0.763,0.432,0.806
"29",41001,"a1i0p0s1t1",0.497,0.237,0.568,0.194,0.763,0.432,0.806
"30",41001,"a1i0p0s0t2",0.213,0.237,0.568,0.194,0.763,0.432,0.806
"31",41001,"a2i2p0s0t0",0.25,0.237,0.568,0.194,0.763,0.432,0.806
"32",41001,"a2i1p1s0t0",0.5,0.237,0.568,0.194,0.763,0.432,0.806
"33",41001,"a2i1p0s1t0",0.2692,0.237,0.568,0.194,0.763,0.432,0.806
"34",41001,"a2i1p0s0t1",0.2308,0.237,0.568,0.194,0.763,0.432,0.806
"35",41001,"a2i0p2s0t0",0.25,0.237,0.568,0.194,0.763,0.432,0.806
"36",41001,"a2i0p1s1t0",0.2692,0.237,0.568,0.194,0.763,0.432,0.806
"37",41001,"a2i0p1s0t1",0.2308,0.237,0.568,0.194,0.763,0.432,0.806
"38",41001,"a2i0p0s2t0",0.2899,0.237,0.568,0.194,0.763,0.432,0.806
"39",41001,"a2i0p0s1t1",0.497,0.237,0.568,0.194,0.763,0.432,0.806
"40",41001,"a2i0p0s0t2",0.213,0.237,0.568,0.194,0.763,0.432,0.806
"41",41003,"a1i2p0s0t0",0.25,0.231,0.538,0.231,0.769,0.462,0.769
"42",41003,"a1i1p1s0t0",0.5,0.231,0.538,0.231,0.769,0.462,0.769
"43",41003,"a1i1p0s1t0",0.2692,0.231,0.538,0.231,0.769,0.462,0.769
"44",41003,"a1i1p0s0t1",0.2308,0.231,0.538,0.231,0.769,0.462,0.769
"45",41003,"a1i0p2s0t0",0.25,0.231,0.538,0.231,0.769,0.462,0.769
"46",41003,"a1i0p1s1t0",0.2692,0.231,0.538,0.231,0.769,0.462,0.769
"47",41003,"a1i0p1s0t1",0.2308,0.231,0.538,0.231,0.769,0.462,0.769
"48",41003,"a1i0p0s2t0",0.2899,0.231,0.538,0.231,0.769,0.462,0.769
"49",41003,"a1i0p0s1t1",0.497,0.231,0.538,0.231,0.769,0.462,0.769
"50",41003,"a1i0p0s0t2",0.213,0.231,0.538,0.231,0.769,0.462,0.769
"51",41003,"a2i2p0s0t0",0.25,0.231,0.538,0.231,0.769,0.462,0.769
"52",41003,"a2i1p1s0t0",0.5,0.231,0.538,0.231,0.769,0.462,0.769
"53",41003,"a2i1p0s1t0",0.2692,0.231,0.538,0.231,0.769,0.462,0.769
"54",41003,"a2i1p0s0t1",0.2308,0.231,0.538,0.231,0.769,0.462,0.769
"55",41003,"a2i0p2s0t0",0.25,0.231,0.538,0.231,0.769,0.462,0.769
"56",41003,"a2i0p1s1t0",0.2692,0.231,0.538,0.231,0.769,0.462,0.769
"57",41003,"a2i0p1s0t1",0.2308,0.231,0.538,0.231,0.769,0.462,0.769
"58",41003,"a2i0p0s2t0",0.2899,0.231,0.538,0.231,0.769,0.462,0.769
