"","fips","familyCode","weight"
"1",41,"a2i2p0s0t0",0.0090404
"2",41001,"a2i2p0s0t0",0.0091956
"3",41003,"a2i2p0s0t0",0.0089628
"4",41005,"a2i2p0s0t0",0.00776
"5",41007,"a2i2p0s0t0",0.0098164
"6",41009,"a2i2p0s0t0",0.0074108
"7",41011,"a2i2p0s0t0",0.0081092
"8",41013,"a2i2p0s0t0",0.0062468
"9",41015,"a2i2p0s0t0",0.0103596
"10",41017,"a2i2p0s0t0",0.0080316
"11",41019,"a2i2p0s0t0",0.006596
"12",41021,"a2i2p0s0t0",0.00582
"13",41023,"a2i2p0s0t0",0.00582
"14",41025,"a2i2p0s0t0",0.006014
"15",41027,"a2i2p0s0t0",0.0093896
"16",41029,"a2i2p0s0t0",0.0093508
"17",41031,"a2i2p0s0t0",0.0040352
"18",41033,"a2i2p0s0t0",0.0078764
"19",41035,"a2i2p0s0t0",0.0062856
"20",41037,"a2i2p0s0t0",0.0095836
"21",41039,"a2i2p0s0t0",0.0084584
"22",41041,"a2i2p0s0t0",0.0071392
"23",41043,"a2i2p0s0t0",0.0092732
"24",41045,"a2i2p0s0t0",0.00776
"25",41047,"a2i2p0s0t0",0.008148
"26",41049,"a2i2p0s0t0",0.0071392
"27",41051,"a2i2p0s0t0",0.0117952
"28",41053,"a2i2p0s0t0",0.0067512
"29",41055,"a2i2p0s0t0",0.006402
"30",41057,"a2i2p0s0t0",0.0081092
"31",41059,"a2i2p0s0t0",0.00679
"32",41061,"a2i2p0s0t0",0.0074496
"33",41063,"a2i2p0s0t0",0.0072556
"34",41065,"a2i2p0s0t0",0.0091568
"35",41067,"a2i2p0s0t0",0.009894
"36",41069,"a2i2p0s0t0",0.0041516
"37",41071,"a2i2p0s0t0",0.007954
"38",41,"a2i1p1s0t0",0.0090404
"39",41001,"a2i1p1s0t0",0.0091956
"40",41003,"a2i1p1s0t0",0.0089628
"41",41005,"a2i1p1s0t0",0.00776
"42",41007,"a2i1p1s0t0",0.0098164
"43",41009,"a2i1p1s0t0",0.0074108
"44",41011,"a2i1p1s0t0",0.0081092
"45",41013,"a2i1p1s0t0",0.0062468
"46",41015,"a2i1p1s0t0",0.0103596
"47",41017,"a2i1p1s0t0",0.0080316
"48",41019,"a2i1p1s0t0",0.006596
"49",41021,"a2i1p1s0t0",0.00582
