"","familyCode","housing","food","childcare","healthcare","transportation","taxes","miscellaneous"
"4","a1i0p0s0t0",673.430820088143,249.933021478169,0,126.682262542171,224.697635288875,332.447497018544,127.474373926706
"6","a1i0p0s0t2",841.904345614486,685.598056317024,0,457.431502177134,224.697635288875,341.30192902459,220.963153948196
"9","a1i0p0s1t1",841.904345614486,660.100164301206,484.977010990061,437.137311703278,231.371038354971,467.0734840336,265.548987093822
"11","a1i0p0s2t0",841.904345614486,634.602272291534,969.954021948056,416.843121267802,231.371038354971,723.625522969181,309.46747995524
"18","a1i0p1s0t1",841.904345614486,595.362358483958,788.76728968344,428.444322859478,231.371038354971,638.83384879842,288.584935501961
"20","a1i0p1s1t0",841.904345614486,569.864466476631,1273.74430057823,408.150132381141,231.371038354971,848.013166888239,332.503428352482
"26","a1i0p2s0t0",841.904345614486,505.126660664347,1577.53457944721,399.457143503278,231.371038354971,972.605668132296,355.53937674699
"33","a1i1p0s0t1",841.904345614486,587.364072366762,970.031822044061,431.393855377134,231.371038354971,744.644366912211,306.20651339269
"35","a1i1p0s1t0",841.904345614486,561.866180358109,1455.00883280227,411.099664903815,231.371038354971,947.60478854077,350.1250062224
"38","a1i1p1s0t0",841.904345614486,497.128374533102,1758.79911176339,402.406676059478,231.371038354971,1068.9008884917,373.160954635015
"45","a1i2p0s0t0",841.904345614486,489.130088425162,1940.06364405399,405.356208577134,231.371038354971,1213.95935862056,390.782532508743
"58","a2i0p0s0t2",841.904345614486,892.822428217502,0,513.432179603278,436.001758357559,436.03946549748,268.416071196987
"61","a2i0p0s1t1",841.904345614486,868.53872152653,484.977010990061,493.137989163594,442.675161423655,552.172821151657,313.123322868389
"63","a2i0p0s2t0",841.904345614486,844.255014829002,969.954021948056,472.843798690773,442.675161423655,742.577814551737,357.163234244382
"70","a2i0p1s0t1",841.904345614486,806.883668358671,788.76728968344,484.445000277134,442.675161423655,654.09322883553,336.467546528322
"72","a2i0p1s1t0",841.904345614486,782.599961693557,1273.74430057823,464.150809803278,442.675161423655,913.756551760617,380.50745792369
"78","a2i0p2s0t0",841.904345614486,720.944908506333,1577.53457944721,455.457820959478,442.675161423655,1025.36190015187,403.851681582408
"85","a2i1p0s0t1",841.904345614486,799.266252996186,970.031822044061,487.394532803278,442.675161423655,805.831074718508,354.127211484621
"87","a2i1p0s1t0",841.904345614486,774.982546331044,1455.00883280227,467.100342363594,442.675161423655,1005.17581308731,398.167122875004
"90","a2i1p1s0t0",841.904345614486,713.327493170852,1758.79911176339,458.407353477134,442.675161423655,1125.95896511696,421.511346525339
"97","a2i2p0s0t0",841.904345614486,705.710077816258,1940.06364405399,461.356886003278,442.675161423655,1215.37660868776,439.171011475629
