fips,familyCode,weightCensus,ageAdjustment,weightFinal,
41,a1i2p0s0t0,,0.25,,
41,a1i1p1s0t0,,0.5,,
41,a1i1p0s1t0,,0.2692,,
41,a1i1p0s0t1,,0.2308,,
41,a1i0p2s0t0,,0.25,,
41,a1i0p1s1t0,,0.2692,,
41,a1i0p1s0t1,,0.2308,,
41,a1i0p0s2t0,,0.2899,,
41,a1i0p0s1t1,,0.497,,
41,a1i0p0s0t2,,0.213,,
41,a2i2p0s0t0,,0.25,,
41,a2i1p1s0t0,,0.5,,
41,a2i1p0s1t0,,0.2692,,
41,a2i1p0s0t1,,0.2308,,
41,a2i0p2s0t0,,0.25,,
41,a2i0p1s1t0,,0.2692,,
41,a2i0p1s0t1,,0.2308,,
41,a2i0p0s2t0,,0.2899,,
41,a2i0p0s1t1,,0.497,,
41,a2i0p0s0t2,,0.213,,
41001,a1i2p0s0t0,,0.25,,
41001,a1i1p1s0t0,,0.5,,
41001,a1i1p0s1t0,,0.2692,,
41001,a1i1p0s0t1,,0.2308,,
41001,a1i0p2s0t0,,0.25,,
41001,a1i0p1s1t0,,0.2692,,
41001,a1i0p1s0t1,,0.2308,,
41001,a1i0p0s2t0,,0.2899,,
41001,a1i0p0s1t1,,0.497,,
41001,a1i0p0s0t2,,0.213,,
41001,a2i2p0s0t0,,0.25,,
41001,a2i1p1s0t0,,0.5,,
41001,a2i1p0s1t0,,0.2692,,
41001,a2i1p0s0t1,,0.2308,,
41001,a2i0p2s0t0,,0.25,,
41001,a2i0p1s1t0,,0.2692,,
41001,a2i0p1s0t1,,0.2308,,
41001,a2i0p0s2t0,,0.2899,,
41001,a2i0p0s1t1,,0.497,,
41001,a2i0p0s0t2,,0.213,,
41003,a1i2p0s0t0,,0.25,,
41003,a1i1p1s0t0,,0.5,,
41003,a1i1p0s1t0,,0.2692,,
41003,a1i1p0s0t1,,0.2308,,
41003,a1i0p2s0t0,,0.25,,
41003,a1i0p1s1t0,,0.2692,,
41003,a1i0p1s0t1,,0.2308,,
41003,a1i0p0s2t0,,0.2899,,
41003,a1i0p0s1t1,,0.497,,
41003,a1i0p0s0t2,,0.213,,
41003,a2i2p0s0t0,,0.25,,
41003,a2i1p1s0t0,,0.5,,
41003,a2i1p0s1t0,,0.2692,,
41003,a2i1p0s0t1,,0.2308,,
41003,a2i0p2s0t0,,0.25,,
41003,a2i0p1s1t0,,0.2692,,
41003,a2i0p1s0t1,,0.2308,,
