GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - 1-person households,Margin of Error; Total: - 1-person households,Estimate; Total: - 2-person households,Margin of Error; Total: - 2-person households,Estimate; Total: - 3-person households,Margin of Error; Total: - 3-person households,Estimate; Total: - 4-person households,Margin of Error; Total: - 4-person households,Estimate; Total: - 5-person households,Margin of Error; Total: - 5-person households,Estimate; Total: - 6-person households,Margin of Error; Total: - 6-person households,Estimate; Total: - 7-or-more-person households,Margin of Error; Total: - 7-or-more-person households
0500000US41001,41001,"Baker County, Oregon",41500,2651,18835,3517,49011,4647,54643,11267,55405,9309,55179,23261,26071,18555,36719,17860
0500000US41003,41003,"Benton County, Oregon",48604,2164,24473,2218,60586,3331,67528,7132,71950,8401,88089,9503,78170,19712,74728,46664
0500000US41005,41005,"Clackamas County, Oregon",64352,967,33174,1558,69330,1264,78682,3336,90495,3289,85513,4039,77421,6992,91200,9154
0500000US41007,41007,"Clatsop County, Oregon",44683,2224,28313,3500,52066,2921,63046,5806,65571,7831,54050,10949,43854,25954,103333,42665
0500000US41009,41009,"Columbia County, Oregon",54968,2052,23479,2009,58785,2915,65587,4550,73664,5055,58750,18105,87664,22340,41000,47012
0500000US41011,41011,"Coos County, Oregon",37940,1623,19914,1761,43789,2369,49435,4312,53627,6006,64583,10660,53059,9245,58423,14015
0500000US41013,41013,"Crook County, Oregon",38795,3404,22961,2596,49109,5755,49182,2290,49743,7176,27167,24965,47250,59835,38250,42141
0500000US41015,41015,"Curry County, Oregon",39516,3505,19833,2130,46239,4557,70104,19171,49010,26144,63088,39161,50104,19206,97717,47167
0500000US41017,41017,"Deschutes County, Oregon",50209,2065,25521,1425,58093,2517,64154,4493,72342,2970,66418,7736,65276,19080,72287,18635
0500000US41019,41019,"Douglas County, Oregon",40524,1242,21578,1395,47179,2520,48394,4888,56267,6956,56571,5224,40938,8472,63750,34357
0500000US41021,41021,"Gilliam County, Oregon",44743,4646,25833,5149,56167,7231,46111,30373,50625,11883,65833,15199,-,**,-,**
0500000US41023,41023,"Grant County, Oregon",35051,3954,20172,2669,38750,4916,49464,8695,78088,17653,57955,20421,33750,27877,41667,1492
0500000US41025,41025,"Harney County, Oregon",38113,2446,21223,4303,39953,6289,41792,10053,55486,8904,45179,14022,33750,9830,36000,49422
0500000US41027,41027,"Hood River County, Oregon",56725,3149,30018,7043,61095,3421,83750,9193,63772,17751,68125,23720,61389,16172,94107,44437
0500000US41029,41029,"Jackson County, Oregon",44005,1111,24100,1284,52111,1443,52815,3028,61648,3951,53271,8568,60058,11539,69091,21828
0500000US41031,41031,"Jefferson County, Oregon",43373,2149,30508,5185,48643,5725,46289,7747,42194,5602,52059,16609,45000,29583,39386,8093
0500000US41033,41033,"Josephine County, Oregon",37733,1509,18787,1299,45636,2157,51462,9593,52257,11921,49345,8321,51753,7628,63029,20576
0500000US41035,41035,"Klamath County, Oregon",39627,2627,19623,1508,47627,2382,46185,3939,56131,10152,56326,7568,48672,17039,83913,13459
0500000US41037,41037,"Lake County, Oregon",33611,5426,20247,2541,42255,6884,40781,15328,57050,18548,31563,29472,88333,27644,51595,813
0500000US41039,41039,"Lane County, Oregon",42931,803,22624,798,50398,1242,56703,2768,63235,3259,59629,4359,68720,4814,65588,8443
0500000US41041,41041,"Lincoln County, Oregon",42365,2385,22698,2147,53034,2492,53361,3979,62618,9873,57614,7698,85221,12094,62465,11449
0500000US41043,41043,"Linn County, Oregon",46939,1414,23227,1550,50168,2005,58948,3691,65731,5987,58975,5761,49761,8861,52176,11506
0500000US41045,41045,"Malheur County, Oregon",35578,1779,17083,2221,45188,3867,43400,7542,47917,12726,46146,10988,49861,9299,68400,18063
0500000US41047,41047,"Marion County, Oregon",46885,981,26857,1236,55470,1666,57666,2528,55484,5207,54061,3667,62674,6302,61596,7335
0500000US41049,41049,"Morrow County, Oregon",49940,2462,30708,2757,53009,7541,54605,10937,50568,7086,53697,4891,61875,17210,69688,23002
0500000US41051,41051,"Multnomah County, Oregon",52511,692,28850,983,62731,1056,70405,2167,80492,2601,66846,3989,62934,7465,60884,15108
0500000US41053,41053,"Polk County, Oregon",52808,1714,25932,2252,58397,3993,60528,4279,71356,8271,66560,5736,57833,16952,64391,32050
0500000US41055,41055,"Sherman County, Oregon",42639,8078,22333,5036,52386,6342,56042,12369,83382,17919,61750,28128,102500,101207,49167,16091
0500000US41057,41057,"Tillamook County, Oregon",43676,1892,22073,1895,50875,2069,62019,9539,58672,16147,43071,9669,53984,9300,75605,81107
