GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11
Id,Id2,Geography,Estimate; Aggregate family income in the past 12 months (in 2013 inflation-adjusted dollars):,Margin of Error; Aggregate family income in the past 12 months (in 2013 inflation-adjusted dollars):,Estimate; Married-couple family:,Margin of Error; Married-couple family:,Estimate; Married-couple family: - With own children under 18 years,Margin of Error; Married-couple family: - With own children under 18 years,Estimate; Married-couple family: - No own children under 18 years,Margin of Error; Married-couple family: - No own children under 18 years,Estimate; Other family:,Margin of Error; Other family:,"Estimate; Other family: - Male householder, no wife present:","Margin of Error; Other family: - Male householder, no wife present:","Estimate; Other family: - Male householder, no wife present: - With own children under 18 years","Margin of Error; Other family: - Male householder, no wife present: - With own children under 18 years","Estimate; Other family: - Male householder, no wife present: - No own children under 18 years","Margin of Error; Other family: - Male householder, no wife present: - No own children under 18 years","Estimate; Other family: - Female householder, no husband present:","Margin of Error; Other family: - Female householder, no husband present:","Estimate; Other family: - Female householder, no husband present: - With own children under 18 years","Margin of Error; Other family: - Female householder, no husband present: - With own children under 18 years","Estimate; Other family: - Female householder, no husband present: - No own children under 18 years","Margin of Error; Other family: - Female householder, no husband present: - No own children under 18 years"
0500000US41001,41001,"Baker County, Oregon",282065600,20365591,259002900,20585464,76191900,11320002,182811000,15668233,23062700,6954400,9145600,5673267,2917800,1863673,6227900,5452590,13917100,3597789,7690700,2391319,6226400,2575897
0500000US41003,41003,"Benton County, Oregon",1659410200,55121817,1523847100,62870306,577433300,43234336,946413900,52432554,135563100,19055154,36557700,10465802,20455100,9206603,16102600,5831350,99005400,15042016,46101000,11052996,52904400,11862257
0500000US41005,41005,"Clackamas County, Oregon",9857258100,212805866,8768273400,210902286,3701060000,156994385,5067213300,182518507,1088984800,61310215,425297800,45945162,223789700,36323499,201508100,28931874,663687000,45237031,296423200,32597751,367263800,42664486
0500000US41007,41007,"Clatsop County, Oregon",692519100,59918799,611520600,60527334,190152900,25901913,421367800,55807816,80998400,13595098,29280700,9613998,20065800,7944509,9214900,4008180,51717700,10086399,18867300,3604747,32850400,9723921
0500000US41009,41009,"Columbia County, Oregon",1034416900,52809271,922270000,57987956,315061200,30920960,607208800,48751091,112146900,17618597,38675900,9233734,21434500,7889859,17241300,6288593,73471000,14130969,33431500,6941581,40039500,13014306
0500000US41011,41011,"Coos County, Oregon",987085300,63280660,834574400,53015100,254282200,33980575,580292100,43853180,152510900,43522696,45060400,10773410,15164600,5610336,29895800,9148111,107450500,41411296,26952500,7355376,80497900,41560415
0500000US41013,41013,"Crook County, Oregon",336132500,23380065,297630700,24473730,78975000,12103484,218655700,22269734,38501800,9874664,17985600,7912397,7190400,5332290,10795200,6662249,20516200,6083247,7905800,4266010,12610400,5195995
0500000US41015,41015,"Curry County, Oregon",376162800,38684417,335011600,36434725,71289300,19790574,263722200,30508041,41151200,11073514,19049600,9162345,8804900,4617371,10244700,9461998,22101600,6213569,6607200,3374937,15494400,5339595
0500000US41017,41017,"Deschutes County, Oregon",3334493900,141424127,2979725200,136479296,1149641000,82035158,1830084200,111985038,354768700,57658460,128607700,31345747,70680000,18631276,57927700,26649254,226161000,44931560,109452200,31327381,116708800,27577610
