GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD01,Estimate; Aggregate family income in the past 12 months (in 2013 inflation-adjusted dollars):
HD02_VD01,Margin of Error; Aggregate family income in the past 12 months (in 2013 inflation-adjusted dollars):
HD01_VD02,Estimate; Married couple family (dollars):
HD02_VD02,Margin of Error; Married couple family (dollars):
HD01_VD03,Estimate; Married couple family (dollars): - Householder 15 to 24 years (dollars)
HD02_VD03,Margin of Error; Married couple family (dollars): - Householder 15 to 24 years (dollars)
HD01_VD04,Estimate; Married couple family (dollars): - Householder 25 to 34 years (dollars)
HD02_VD04,Margin of Error; Married couple family (dollars): - Householder 25 to 34 years (dollars)
HD01_VD05,Estimate; Married couple family (dollars): - Householder 35 to 44 years (dollars)
HD02_VD05,Margin of Error; Married couple family (dollars): - Householder 35 to 44 years (dollars)
HD01_VD06,Estimate; Married couple family (dollars): - Householder 45 to 54 years (dollars)
HD02_VD06,Margin of Error; Married couple family (dollars): - Householder 45 to 54 years (dollars)
HD01_VD07,Estimate; Married couple family (dollars): - Householder 55 to 59 years (dollars)
HD02_VD07,Margin of Error; Married couple family (dollars): - Householder 55 to 59 years (dollars)
HD01_VD08,Estimate; Married couple family (dollars): - Householder 60 to 64 years (dollars)
HD02_VD08,Margin of Error; Married couple family (dollars): - Householder 60 to 64 years (dollars)
HD01_VD09,Estimate; Married couple family (dollars): - Householder 65 to 74 years (dollars)
HD02_VD09,Margin of Error; Married couple family (dollars): - Householder 65 to 74 years (dollars)
HD01_VD10,Estimate; Married couple family (dollars): - Householder 75 years and over (dollars)
HD02_VD10,Margin of Error; Married couple family (dollars): - Householder 75 years and over (dollars)
HD01_VD11,Estimate; Other family (dollars):
HD02_VD11,Margin of Error; Other family (dollars):
HD01_VD12,"Estimate; Other family (dollars): - Male householder, no wife present (dollars):"
HD02_VD12,"Margin of Error; Other family (dollars): - Male householder, no wife present (dollars):"
HD01_VD13,"Estimate; Other family (dollars): - Male householder, no wife present (dollars): - Householder 15 to 24 years (dollars)"
HD02_VD13,"Margin of Error; Other family (dollars): - Male householder, no wife present (dollars): - Householder 15 to 24 years (dollars)"
HD01_VD14,"Estimate; Other family (dollars): - Male householder, no wife present (dollars): - Householder 25 to 34 years (dollars)"
