GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50,HD02_VD50,HD01_VD51,HD02_VD51,HD01_VD52,HD02_VD52,HD01_VD53,HD02_VD53,HD01_VD54,HD02_VD54,HD01_VD55,HD02_VD55,HD01_VD56,HD02_VD56,HD01_VD57,HD02_VD57,HD01_VD58,HD02_VD58,HD01_VD59,HD02_VD59
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - With own children under 18 years:,Margin of Error; Total: - With own children under 18 years:,Estimate; Total: - With own children under 18 years: - Married-couple family:,Margin of Error; Total: - With own children under 18 years: - Married-couple family:,Estimate; Total: - With own children under 18 years: - Married-couple family: - Husband in labor force:,Margin of Error; Total: - With own children under 18 years: - Married-couple family: - Husband in labor force:,Estimate; Total: - With own children under 18 years: - Married-couple family: - Husband in labor force: - Employed or in Armed Forces:,Margin of Error; Total: - With own children under 18 years: - Married-couple family: - Husband in labor force: - Employed or in Armed Forces:,Estimate; Total: - With own children under 18 years: - Married-couple family: - Husband in labor force: - Employed or in Armed Forces: - Wife in labor force:,Margin of Error; Total: - With own children under 18 years: - Married-couple family: - Husband in labor force: - Employed or in Armed Forces: - Wife in labor force:,Estimate; Total: - With own children under 18 years: - Married-couple family: - Husband in labor force: - Employed or in Armed Forces: - Wife in labor force: - Employed or in Armed Forces,Margin of Error; Total: - With own children under 18 years: - Married-couple family: - Husband in labor force: - Employed or in Armed Forces: - Wife in labor force: - Employed or in Armed Forces,Estimate; Total: - With own children under 18 years: - Married-couple family: - Husband in labor force: - Employed or in Armed Forces: - Wife in labor force: - Unemployed,Margin of Error; Total: - With own children under 18 years: - Married-couple family: - Husband in labor force: - Employed or in Armed Forces: - Wife in labor force: - Unemployed,Estimate; Total: - With own children under 18 years: - Married-couple family: - Husband in labor force: - Employed or in Armed Forces: - Wife not in labor force,Margin of Error; Total: - With own children under 18 years: - Married-couple family: - Husband in labor force: - Employed or in Armed Forces: - Wife not in labor force,Estimate; Total: - With own children under 18 years: - Married-couple family: - Husband in labor force: - Unemployed:,Margin of Error; Total: - With own children under 18 years: - Married-couple family: - Husband in labor force: - Unemployed:,Estimate; Total: - With own children under 18 years: - Married-couple family: - Husband in labor force: - Unemployed: - Wife in labor force:,Margin of Error; Total: - With own children under 18 years: - Married-couple family: - Husband in labor force: - Unemployed: - Wife in labor force:,Estimate; Total: - With own children under 18 years: - Married-couple family: - Husband in labor force: - Unemployed: - Wife in labor force: - Employed or in Armed Forces,Margin of Error; Total: - With own children under 18 years: - Married-couple family: - Husband in labor force: - Unemployed: - Wife in labor force: - Employed or in Armed Forces,Estimate; Total: - With own children under 18 years: - Married-couple family: - Husband in labor force: - Unemployed: - Wife in labor force: - Unemployed,Margin of Error; Total: - With own children under 18 years: - Married-couple family: - Husband in labor force: - Unemployed: - Wife in labor force: - Unemployed,Estimate; Total: - With own children under 18 years: - Married-couple family: - Husband in labor force: - Unemployed: - Wife not in labor force,Margin of Error; Total: - With own children under 18 years: - Married-couple family: - Husband in labor force: - Unemployed: - Wife not in labor force,Estimate; Total: - With own children under 18 years: - Married-couple family: - Husband not in labor force:,Margin of Error; Total: - With own children under 18 years: - Married-couple family: - Husband not in labor force:,Estimate; Total: - With own children under 18 years: - Married-couple family: - Husband not in labor force: - Wife in labor force:,Margin of Error; Total: - With own children under 18 years: - Married-couple family: - Husband not in labor force: - Wife in labor force:,Estimate; Total: - With own children under 18 years: - Married-couple family: - Husband not in labor force: - Wife in labor force: - Employed or in Armed Forces,Margin of Error; Total: - With own children under 18 years: - Married-couple family: - Husband not in labor force: - Wife in labor force: - Employed or in Armed Forces,Estimate; Total: - With own children under 18 years: - Married-couple family: - Husband not in labor force: - Wife in labor force: - Unemployed,Margin of Error; Total: - With own children under 18 years: - Married-couple family: - Husband not in labor force: - Wife in labor force: - Unemployed,Estimate; Total: - With own children under 18 years: - Married-couple family: - Husband not in labor force: - Wife not in labor force,Margin of Error; Total: - With own children under 18 years: - Married-couple family: - Husband not in labor force: - Wife not in labor force,Estimate; Total: - With own children under 18 years: - Other family:,Margin of Error; Total: - With own children under 18 years: - Other family:,"Estimate; Total: - With own children under 18 years: - Other family: - Male householder, no wife present:","Margin of Error; Total: - With own children under 18 years: - Other family: - Male householder, no wife present:","Estimate; Total: - With own children under 18 years: - Other family: - Male householder, no wife present: - In labor force:","Margin of Error; Total: - With own children under 18 years: - Other family: - Male householder, no wife present: - In labor force:","Estimate; Total: - With own children under 18 years: - Other family: - Male householder, no wife present: - In labor force: - Employed or in Armed Forces","Margin of Error; Total: - With own children under 18 years: - Other family: - Male householder, no wife present: - In labor force: - Employed or in Armed Forces","Estimate; Total: - With own children under 18 years: - Other family: - Male householder, no wife present: - In labor force: - Unemployed","Margin of Error; Total: - With own children under 18 years: - Other family: - Male householder, no wife present: - In labor force: - Unemployed","Estimate; Total: - With own children under 18 years: - Other family: - Male householder, no wife present: - Not in labor force","Margin of Error; Total: - With own children under 18 years: - Other family: - Male householder, no wife present: - Not in labor force","Estimate; Total: - With own children under 18 years: - Other family: - Female householder, no husband present:","Margin of Error; Total: - With own children under 18 years: - Other family: - Female householder, no husband present:","Estimate; Total: - With own children under 18 years: - Other family: - Female householder, no husband present: - In labor force:","Margin of Error; Total: - With own children under 18 years: - Other family: - Female householder, no husband present: - In labor force:","Estimate; Total: - With own children under 18 years: - Other family: - Female householder, no husband present: - In labor force: - Employed or in Armed Forces","Margin of Error; Total: - With own children under 18 years: - Other family: - Female householder, no husband present: - In labor force: - Employed or in Armed Forces","Estimate; Total: - With own children under 18 years: - Other family: - Female householder, no husband present: - In labor force: - Unemployed","Margin of Error; Total: - With own children under 18 years: - Other family: - Female householder, no husband present: - In labor force: - Unemployed","Estimate; Total: - With own children under 18 years: - Other family: - Female householder, no husband present: - Not in labor force","Margin of Error; Total: - With own children under 18 years: - Other family: - Female householder, no husband present: - Not in labor force",Estimate; Total: - No children under 18 years:,Margin of Error; Total: - No children under 18 years:,Estimate; Total: - No children under 18 years: - Married-couple family:,Margin of Error; Total: - No children under 18 years: - Married-couple family:,Estimate; Total: - No children under 18 years: - Married-couple family: - Husband in labor force:,Margin of Error; Total: - No children under 18 years: - Married-couple family: - Husband in labor force:,Estimate; Total: - No children under 18 years: - Married-couple family: - Husband in labor force: - Employed or in Armed Forces:,Margin of Error; Total: - No children under 18 years: - Married-couple family: - Husband in labor force: - Employed or in Armed Forces:,Estimate; Total: - No children under 18 years: - Married-couple family: - Husband in labor force: - Employed or in Armed Forces: - Wife in labor force:,Margin of Error; Total: - No children under 18 years: - Married-couple family: - Husband in labor force: - Employed or in Armed Forces: - Wife in labor force:,Estimate; Total: - No children under 18 years: - Married-couple family: - Husband in labor force: - Employed or in Armed Forces: - Wife in labor force: - Employed or in Armed Forces,Margin of Error; Total: - No children under 18 years: - Married-couple family: - Husband in labor force: - Employed or in Armed Forces: - Wife in labor force: - Employed or in Armed Forces,Estimate; Total: - No children under 18 years: - Married-couple family: - Husband in labor force: - Employed or in Armed Forces: - Wife in labor force: - Unemployed,Margin of Error; Total: - No children under 18 years: - Married-couple family: - Husband in labor force: - Employed or in Armed Forces: - Wife in labor force: - Unemployed,Estimate; Total: - No children under 18 years: - Married-couple family: - Husband in labor force: - Employed or in Armed Forces: - Wife not in labor force,Margin of Error; Total: - No children under 18 years: - Married-couple family: - Husband in labor force: - Employed or in Armed Forces: - Wife not in labor force,Estimate; Total: - No children under 18 years: - Married-couple family: - Husband in labor force: - Unemployed:,Margin of Error; Total: - No children under 18 years: - Married-couple family: - Husband in labor force: - Unemployed:,Estimate; Total: - No children under 18 years: - Married-couple family: - Husband in labor force: - Unemployed: - Wife in labor force:,Margin of Error; Total: - No children under 18 years: - Married-couple family: - Husband in labor force: - Unemployed: - Wife in labor force:,Estimate; Total: - No children under 18 years: - Married-couple family: - Husband in labor force: - Unemployed: - Wife in labor force: - Employed or in Armed Forces,Margin of Error; Total: - No children under 18 years: - Married-couple family: - Husband in labor force: - Unemployed: - Wife in labor force: - Employed or in Armed Forces,Estimate; Total: - No children under 18 years: - Married-couple family: - Husband in labor force: - Unemployed: - Wife in labor force: - Unemployed,Margin of Error; Total: - No children under 18 years: - Married-couple family: - Husband in labor force: - Unemployed: - Wife in labor force: - Unemployed,Estimate; Total: - No children under 18 years: - Married-couple family: - Husband in labor force: - Unemployed: - Wife not in labor force,Margin of Error; Total: - No children under 18 years: - Married-couple family: - Husband in labor force: - Unemployed: - Wife not in labor force,Estimate; Total: - No children under 18 years: - Married-couple family: - Husband not in labor force:,Margin of Error; Total: - No children under 18 years: - Married-couple family: - Husband not in labor force:,Estimate; Total: - No children under 18 years: - Married-couple family: - Husband not in labor force: - Wife in labor force:,Margin of Error; Total: - No children under 18 years: - Married-couple family: - Husband not in labor force: - Wife in labor force:,Estimate; Total: - No children under 18 years: - Married-couple family: - Husband not in labor force: - Wife in labor force: - Employed or in Armed Forces,Margin of Error; Total: - No children under 18 years: - Married-couple family: - Husband not in labor force: - Wife in labor force: - Employed or in Armed Forces,Estimate; Total: - No children under 18 years: - Married-couple family: - Husband not in labor force: - Wife in labor force: - Unemployed,Margin of Error; Total: - No children under 18 years: - Married-couple family: - Husband not in labor force: - Wife in labor force: - Unemployed,Estimate; Total: - No children under 18 years: - Married-couple family: - Husband not in labor force: - Wife not in labor force,Margin of Error; Total: - No children under 18 years: - Married-couple family: - Husband not in labor force: - Wife not in labor force,Estimate; Total: - No children under 18 years: - Other family:,Margin of Error; Total: - No children under 18 years: - Other family:,"Estimate; Total: - No children under 18 years: - Other family: - Male householder, no wife present:","Margin of Error; Total: - No children under 18 years: - Other family: - Male householder, no wife present:","Estimate; Total: - No children under 18 years: - Other family: - Male householder, no wife present: - In labor force:","Margin of Error; Total: - No children under 18 years: - Other family: - Male householder, no wife present: - In labor force:","Estimate; Total: - No children under 18 years: - Other family: - Male householder, no wife present: - In labor force: - Employed or in Armed Forces","Margin of Error; Total: - No children under 18 years: - Other family: - Male householder, no wife present: - In labor force: - Employed or in Armed Forces","Estimate; Total: - No children under 18 years: - Other family: - Male householder, no wife present: - In labor force: - Unemployed","Margin of Error; Total: - No children under 18 years: - Other family: - Male householder, no wife present: - In labor force: - Unemployed","Estimate; Total: - No children under 18 years: - Other family: - Male householder, no wife present: - Not in labor force","Margin of Error; Total: - No children under 18 years: - Other family: - Male householder, no wife present: - Not in labor force","Estimate; Total: - No children under 18 years: - Other family: - Female householder, no husband present:","Margin of Error; Total: - No children under 18 years: - Other family: - Female householder, no husband present:","Estimate; Total: - No children under 18 years: - Other family: - Female householder, no husband present: - In labor force:","Margin of Error; Total: - No children under 18 years: - Other family: - Female householder, no husband present: - In labor force:","Estimate; Total: - No children under 18 years: - Other family: - Female householder, no husband present: - In labor force: - Employed or in Armed Forces","Margin of Error; Total: - No children under 18 years: - Other family: - Female householder, no husband present: - In labor force: - Employed or in Armed Forces","Estimate; Total: - No children under 18 years: - Other family: - Female householder, no husband present: - In labor force: - Unemployed","Margin of Error; Total: - No children under 18 years: - Other family: - Female householder, no husband present: - In labor force: - Unemployed","Estimate; Total: - No children under 18 years: - Other family: - Female householder, no husband present: - Not in labor force","Margin of Error; Total: - No children under 18 years: - Other family: - Female householder, no husband present: - Not in labor force"
0500000US41001,41001,"Baker County, Oregon",4603,238,1630,156,1096,152,1033,144,977,145,782,131,754,124,28,28,195,71,56,38,40,30,40,30,0,19,16,22,63,39,21,26,21,26,0,19,42,28,534,151,103,60,91,55,64,43,27,34,12,18,431,116,380,108,334,104,46,38,51,45,2973,183,2696,184,1409,165,1316,158,1009,142,947,133,62,44,307,76,93,47,58,38,45,36,13,16,35,29,1287,126,304,74,295,74,9,11,983,105,277,86,93,59,52,49,52,49,0,19,41,31,184,61,102,54,102,54,0,19,82,39
0500000US41003,41003,"Benton County, Oregon",18698,502,7436,446,5595,368,5091,341,4854,348,3420,304,3232,294,188,88,1434,247,237,99,205,93,170,87,35,35,32,27,504,160,332,116,317,114,15,18,172,108,1841,280,421,127,391,126,373,130,18,22,30,29,1420,258,958,205,901,186,57,60,462,171,11262,365,9730,390,6036,371,5614,360,3974,300,3867,295,107,57,1640,216,422,112,233,81,174,69,59,43,189,84,3694,245,922,184,849,175,73,49,2772,274,1532,231,425,126,225,102,197,96,28,30,200,87,1107,201,732,160,732,160,0,28,375,118
0500000US41005,41005,"Clackamas County, Oregon",101963,1101,44178,972,32396,914,30993,920,29474,920,19822,852,18523,869,1299,216,9652,575,1519,253,1163,224,1037,207,126,83,356,130,1403,274,918,195,873,194,45,42,485,161,11782,786,3490,464,3205,448,2703,423,502,214,285,124,8292,638,6878,631,5861,547,1017,236,1414,274,57785,1054,48784,921,30068,901,28396,904,21029,812,19863,850,1166,252,7367,481,1672,260,1254,223,1078,202,176,77,418,137,18701,571,4780,383,4516,373,264,98,13921,625,9001,687,2967,333,2073,304,1853,292,220,108,894,150,6034,553,3476,403,3230,383,246,109,2558,369
0500000US41007,41007,"Clatsop County, Oregon",9878,425,3788,281,2387,250,2293,232,2154,235,1641,211,1542,206,99,63,513,147,139,68,76,53,59,41,17,26,63,40,94,101,94,101,33,23,61,92,0,25,1401,184,445,150,402,148,389,146,13,19,43,35,956,174,684,147,601,151,83,76,272,119,6090,356,5159,338,2831,288,2675,297,2076,245,1981,247,95,51,599,147,156,83,85,47,85,47,0,25,71,68,2328,239,649,143,641,142,8,13,1679,194,931,172,189,77,99,53,94,53,5,8,90,50,742,171,320,104,288,101,32,25,422,126
0500000US41009,41009,"Columbia County, Oregon",13725,409,5453,312,3656,281,3468,271,3114,288,2053,279,1943,282,110,73,1061,181,354,128,278,108,223,103,55,45,76,67,188,86,131,77,120,74,11,19,57,38,1797,270,559,185,498,158,372,128,126,85,61,68,1238,221,964,208,809,184,155,102,274,109,8272,396,7206,362,4171,325,3932,324,2835,287,2628,265,207,86,1097,161,239,87,199,89,170,77,29,46,40,31,3035,243,871,179,776,160,95,77,2164,237,1066,219,300,105,188,71,172,68,16,24,112,79,766,179,459,138,404,121,55,54,307,101
0500000US41011,41011,"Coos County, Oregon",15899,626,5005,383,3391,379,3132,372,2883,362,2073,313,1941,290,132,94,810,239,249,109,162,77,137,73,25,23,87,75,259,98,152,68,135,67,17,22,107,68,1614,283,399,128,331,111,302,112,29,30,68,53,1215,265,892,232,811,225,81,60,323,117,10894,517,8903,486,3934,395,3550,376,2452,319,2346,308,106,58,1098,210,384,131,308,120,308,120,0,28,76,49,4969,341,1221,228,1180,221,41,43,3748,330,1991,342,660,179,332,155,240,134,92,83,328,111,1331,238,487,141,463,139,24,28,844,216
0500000US41013,41013,"Crook County, Oregon",6041,312,2109,208,1512,210,1356,186,1119,185,717,148,637,143,80,59,402,135,237,113,203,101,172,96,31,36,34,36,156,89,110,76,96,74,14,20,46,48,597,163,205,108,190,105,155,98,35,39,15,24,392,139,291,136,261,133,30,36,101,66,3932,275,3389,241,1644,184,1446,161,981,177,898,168,83,54,465,119,198,96,166,93,138,93,28,31,32,29,1745,166,349,104,335,104,14,23,1396,164,543,159,215,104,180,99,125,93,55,47,35,35,328,121,207,92,207,92,0,22,121,74
0500000US41015,41015,"Curry County, Oregon",6164,473,1519,269,970,247,908,240,874,232,728,201,609,200,119,83,146,90,34,40,22,31,22,31,0,22,12,22,62,65,0,22,0,22,0,22,62,65,549,201,277,156,245,152,209,154,36,25,32,33,272,108,209,93,192,91,17,28,63,64,4645,416,4096,406,1526,297,1320,278,891,213,862,209,29,29,429,160,206,136,130,92,130,92,0,22,76,69,2570,262,581,156,539,157,42,39,1989,224,549,183,157,110,104,102,104,102,0,22,53,39,392,129,167,83,167,83,0,22,225,109
0500000US41017,41017,"Deschutes County, Oregon",43353,933,17975,646,12741,618,11764,630,10910,601,7717,625,7263,593,454,216,3193,431,854,227,633,190,484,174,149,120,221,119,949,229,666,220,654,219,12,18,283,120,5234,520,1875,324,1682,316,1490,322,192,88,193,100,3359,458,2800,447,2502,407,298,148,559,225,25378,802,22016,771,11385,726,10213,632,7546,585,6896,530,650,238,2667,421,1172,238,913,222,647,179,266,139,259,144,10615,570,2268,302,2163,298,105,54,8347,562,3362,493,995,291,568,214,544,216,24,28,427,168,2367,386,1333,284,1199,291,134,92,1034,253
0500000US41019,41019,"Douglas County, Oregon",29217,689,9857,500,6217,452,5583,448,5096,441,3568,372,3265,332,303,154,1528,271,487,180,357,167,292,144,65,60,130,66,634,180,342,122,312,122,30,29,292,121,3640,393,1064,267,913,236,679,194,234,128,151,77,2576,344,2084,315,1674,266,410,172,492,160,19360,509,16261,484,7227,470,6575,457,4376,411,3921,388,455,158,2199,292,652,169,492,154,388,132,104,81,160,74,9013,421,2370,290,2201,280,169,94,6643,397,3099,402,1048,244,516,176,481,174,35,37,532,186,2051,315,898,187,863,183,35,33,1153,213
