GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - With own children under 18 years:,Margin of Error; Total: - With own children under 18 years:,Estimate; Total: - With own children under 18 years: - Married-couple family:,Margin of Error; Total: - With own children under 18 years: - Married-couple family:,Estimate; Total: - With own children under 18 years: - Married-couple family: - No workers,Margin of Error; Total: - With own children under 18 years: - Married-couple family: - No workers,Estimate; Total: - With own children under 18 years: - Married-couple family: - 1 worker,Margin of Error; Total: - With own children under 18 years: - Married-couple family: - 1 worker,Estimate; Total: - With own children under 18 years: - Married-couple family: - 2 workers:,Margin of Error; Total: - With own children under 18 years: - Married-couple family: - 2 workers:,Estimate; Total: - With own children under 18 years: - Married-couple family: - 2 workers: - Husband and wife worked,Margin of Error; Total: - With own children under 18 years: - Married-couple family: - 2 workers: - Husband and wife worked,Estimate; Total: - With own children under 18 years: - Married-couple family: - 2 workers: - Other,Margin of Error; Total: - With own children under 18 years: - Married-couple family: - 2 workers: - Other,Estimate; Total: - With own children under 18 years: - Married-couple family: - 3 or more workers:,Margin of Error; Total: - With own children under 18 years: - Married-couple family: - 3 or more workers:,Estimate; Total: - With own children under 18 years: - Married-couple family: - 3 or more workers: - Husband and wife worked,Margin of Error; Total: - With own children under 18 years: - Married-couple family: - 3 or more workers: - Husband and wife worked,Estimate; Total: - With own children under 18 years: - Married-couple family: - 3 or more workers: - Other,Margin of Error; Total: - With own children under 18 years: - Married-couple family: - 3 or more workers: - Other,Estimate; Total: - With own children under 18 years: - Other family:,Margin of Error; Total: - With own children under 18 years: - Other family:,"Estimate; Total: - With own children under 18 years: - Other family: - Male householder, no wife present:","Margin of Error; Total: - With own children under 18 years: - Other family: - Male householder, no wife present:","Estimate; Total: - With own children under 18 years: - Other family: - Male householder, no wife present: - No workers","Margin of Error; Total: - With own children under 18 years: - Other family: - Male householder, no wife present: - No workers","Estimate; Total: - With own children under 18 years: - Other family: - Male householder, no wife present: - 1 worker","Margin of Error; Total: - With own children under 18 years: - Other family: - Male householder, no wife present: - 1 worker","Estimate; Total: - With own children under 18 years: - Other family: - Male householder, no wife present: - 2 workers","Margin of Error; Total: - With own children under 18 years: - Other family: - Male householder, no wife present: - 2 workers","Estimate; Total: - With own children under 18 years: - Other family: - Male householder, no wife present: - 3 or more workers","Margin of Error; Total: - With own children under 18 years: - Other family: - Male householder, no wife present: - 3 or more workers","Estimate; Total: - With own children under 18 years: - Other family: - Female householder, no husband present:","Margin of Error; Total: - With own children under 18 years: - Other family: - Female householder, no husband present:","Estimate; Total: - With own children under 18 years: - Other family: - Female householder, no husband present: - No workers","Margin of Error; Total: - With own children under 18 years: - Other family: - Female householder, no husband present: - No workers","Estimate; Total: - With own children under 18 years: - Other family: - Female householder, no husband present: - 1 worker","Margin of Error; Total: - With own children under 18 years: - Other family: - Female householder, no husband present: - 1 worker","Estimate; Total: - With own children under 18 years: - Other family: - Female householder, no husband present: - 2 workers","Margin of Error; Total: - With own children under 18 years: - Other family: - Female householder, no husband present: - 2 workers","Estimate; Total: - With own children under 18 years: - Other family: - Female householder, no husband present: - 3 or more workers","Margin of Error; Total: - With own children under 18 years: - Other family: - Female householder, no husband present: - 3 or more workers",Estimate; Total: - No children under 18 years:,Margin of Error; Total: - No children under 18 years:,Estimate; Total: - No children under 18 years: - Married-couple family:,Margin of Error; Total: - No children under 18 years: - Married-couple family:,Estimate; Total: - No children under 18 years: - Married-couple family: - No workers,Margin of Error; Total: - No children under 18 years: - Married-couple family: - No workers,Estimate; Total: - No children under 18 years: - Married-couple family: - 1 worker,Margin of Error; Total: - No children under 18 years: - Married-couple family: - 1 worker,Estimate; Total: - No children under 18 years: - Married-couple family: - 2 workers:,Margin of Error; Total: - No children under 18 years: - Married-couple family: - 2 workers:,Estimate; Total: - No children under 18 years: - Married-couple family: - 2 workers: - Husband and wife worked,Margin of Error; Total: - No children under 18 years: - Married-couple family: - 2 workers: - Husband and wife worked,Estimate; Total: - No children under 18 years: - Married-couple family: - 2 workers: - Other,Margin of Error; Total: - No children under 18 years: - Married-couple family: - 2 workers: - Other,Estimate; Total: - No children under 18 years: - Married-couple family: - 3 or more workers:,Margin of Error; Total: - No children under 18 years: - Married-couple family: - 3 or more workers:,Estimate; Total: - No children under 18 years: - Married-couple family: - 3 or more workers: - Husband and wife worked,Margin of Error; Total: - No children under 18 years: - Married-couple family: - 3 or more workers: - Husband and wife worked,Estimate; Total: - No children under 18 years: - Married-couple family: - 3 or more workers: - Other,Margin of Error; Total: - No children under 18 years: - Married-couple family: - 3 or more workers: - Other,Estimate; Total: - No children under 18 years: - Other family:,Margin of Error; Total: - No children under 18 years: - Other family:,"Estimate; Total: - No children under 18 years: - Other family: - Male householder, no wife present:","Margin of Error; Total: - No children under 18 years: - Other family: - Male householder, no wife present:","Estimate; Total: - No children under 18 years: - Other family: - Male householder, no wife present: - No workers","Margin of Error; Total: - No children under 18 years: - Other family: - Male householder, no wife present: - No workers","Estimate; Total: - No children under 18 years: - Other family: - Male householder, no wife present: - 1 worker","Margin of Error; Total: - No children under 18 years: - Other family: - Male householder, no wife present: - 1 worker","Estimate; Total: - No children under 18 years: - Other family: - Male householder, no wife present: - 2 workers","Margin of Error; Total: - No children under 18 years: - Other family: - Male householder, no wife present: - 2 workers","Estimate; Total: - No children under 18 years: - Other family: - Male householder, no wife present: - 3 or more workers","Margin of Error; Total: - No children under 18 years: - Other family: - Male householder, no wife present: - 3 or more workers","Estimate; Total: - No children under 18 years: - Other family: - Female householder, no husband present:","Margin of Error; Total: - No children under 18 years: - Other family: - Female householder, no husband present:","Estimate; Total: - No children under 18 years: - Other family: - Female householder, no husband present: - No workers","Margin of Error; Total: - No children under 18 years: - Other family: - Female householder, no husband present: - No workers","Estimate; Total: - No children under 18 years: - Other family: - Female householder, no husband present: - 1 worker","Margin of Error; Total: - No children under 18 years: - Other family: - Female householder, no husband present: - 1 worker","Estimate; Total: - No children under 18 years: - Other family: - Female householder, no husband present: - 2 workers","Margin of Error; Total: - No children under 18 years: - Other family: - Female householder, no husband present: - 2 workers","Estimate; Total: - No children under 18 years: - Other family: - Female householder, no husband present: - 3 or more workers","Margin of Error; Total: - No children under 18 years: - Other family: - Female householder, no husband present: - 3 or more workers"
0500000US41001,41001,"Baker County, Oregon",4603,238,1630,156,1096,152,42,28,203,74,737,137,736,136,1,4,114,62,114,62,0,19,534,151,103,60,23,32,67,44,13,22,0,19,431,116,42,35,370,103,19,21,0,19,2973,183,2696,184,877,102,605,106,1094,143,1030,146,64,41,120,58,118,58,2,3,277,86,93,59,34,30,44,44,15,17,0,19,184,61,30,23,131,65,22,22,1,5
0500000US41003,41003,"Benton County, Oregon",18698,502,7436,446,5595,368,172,109,1387,226,3313,302,3192,295,121,60,723,157,689,153,34,39,1841,280,421,127,30,29,287,102,96,59,8,18,1420,258,293,126,924,213,149,77,54,54,11262,365,9730,390,2326,243,2534,280,4029,349,3763,330,266,94,841,182,806,187,35,38,1532,231,425,126,164,84,82,58,167,85,12,19,1107,201,165,68,346,112,496,141,100,76
0500000US41005,41005,"Clackamas County, Oregon",101963,1101,44178,972,32396,914,348,134,8646,596,18508,835,17422,842,1086,240,4894,466,4516,448,378,121,11782,786,3490,464,194,80,2727,377,384,189,185,122,8292,638,1508,280,5478,493,1203,237,103,62,57785,1054,48784,921,11315,610,12066,576,20029,831,18071,812,1958,273,5374,428,4745,383,629,177,9001,687,2967,333,370,104,1093,220,1242,269,262,146,6034,553,919,185,2214,295,2259,373,642,181
0500000US41007,41007,"Clatsop County, Oregon",9878,425,3788,281,2387,250,0,25,424,129,1467,220,1269,191,198,123,496,115,473,116,23,26,1401,184,445,150,13,19,309,152,123,73,0,25,956,174,294,131,455,135,147,76,60,59,6090,356,5159,338,1348,166,1249,197,2241,234,2123,239,118,56,321,102,310,101,11,14,931,172,189,77,50,37,87,56,30,23,22,24,742,171,110,53,362,119,231,105,39,30
0500000US41009,41009,"Columbia County, Oregon",13725,409,5453,312,3656,281,78,48,1055,157,2031,255,1900,258,131,55,492,126,454,127,38,35,1797,270,559,185,34,28,518,186,7,9,0,25,1238,221,175,88,976,202,81,58,6,11,8272,396,7206,362,1819,184,1922,234,2930,317,2708,332,222,93,535,144,442,131,93,59,1066,219,300,105,74,70,100,59,92,46,34,35,766,179,186,72,239,96,279,103,62,43
0500000US41011,41011,"Coos County, Oregon",15899,626,5005,383,3391,379,123,71,790,209,2145,298,2071,297,74,59,333,92,325,91,8,13,1614,283,399,128,71,53,315,112,13,16,0,28,1215,265,263,106,805,221,141,98,6,10,10894,517,8903,486,3068,286,2478,285,2925,334,2646,311,279,115,432,116,399,111,33,35,1991,342,660,179,140,74,313,130,172,112,35,42,1331,238,308,132,631,162,299,120,93,63
0500000US41013,41013,"Crook County, Oregon",6041,312,2109,208,1512,210,90,65,469,158,871,177,827,170,44,42,82,51,82,51,0,22,597,163,205,108,33,36,140,92,32,50,0,22,392,139,72,59,273,129,47,52,0,22,3932,275,3389,241,1161,142,963,188,1143,182,1110,178,33,32,122,68,97,61,25,27,543,159,215,104,24,30,34,33,157,99,0,22,328,121,89,68,137,77,88,57,14,24
0500000US41015,41015,"Curry County, Oregon",6164,473,1519,269,970,247,57,71,177,97,607,169,607,169,0,22,129,93,129,93,0,22,549,201,277,156,20,27,251,153,6,9,0,22,272,108,56,55,203,95,13,21,0,22,4645,416,4096,406,1926,219,899,227,1078,237,944,220,134,80,193,88,174,85,19,26,549,183,157,110,31,32,39,41,87,99,0,22,392,129,106,81,150,77,125,64,11,22
0500000US41017,41017,"Deschutes County, Oregon",43353,933,17975,646,12741,618,260,116,3016,435,8019,622,7633,611,386,170,1446,248,1392,248,54,43,5234,520,1875,324,141,77,1455,304,241,152,38,56,3359,458,551,207,2197,384,558,208,53,47,25378,802,22016,771,7165,502,5355,515,8479,598,8052,593,427,161,1017,194,861,164,156,95,3362,493,995,291,214,110,286,133,495,196,0,28,2367,386,429,177,826,202,854,246,258,135
