GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Householder 15 to 24 years:,Margin of Error; Householder 15 to 24 years:,Estimate; Householder 15 to 24 years: - Less than 20.0 percent,Margin of Error; Householder 15 to 24 years: - Less than 20.0 percent,Estimate; Householder 15 to 24 years: - 20.0 to 24.9 percent,Margin of Error; Householder 15 to 24 years: - 20.0 to 24.9 percent,Estimate; Householder 15 to 24 years: - 25.0 to 29.9 percent,Margin of Error; Householder 15 to 24 years: - 25.0 to 29.9 percent,Estimate; Householder 15 to 24 years: - 30.0 to 34.9 percent,Margin of Error; Householder 15 to 24 years: - 30.0 to 34.9 percent,Estimate; Householder 15 to 24 years: - 35.0 percent or more,Margin of Error; Householder 15 to 24 years: - 35.0 percent or more,Estimate; Householder 15 to 24 years: - Not computed,Margin of Error; Householder 15 to 24 years: - Not computed,Estimate; Householder 25 to 34 years:,Margin of Error; Householder 25 to 34 years:,Estimate; Householder 25 to 34 years: - Less than 20.0 percent,Margin of Error; Householder 25 to 34 years: - Less than 20.0 percent,Estimate; Householder 25 to 34 years: - 20.0 to 24.9 percent,Margin of Error; Householder 25 to 34 years: - 20.0 to 24.9 percent,Estimate; Householder 25 to 34 years: - 25.0 to 29.9 percent,Margin of Error; Householder 25 to 34 years: - 25.0 to 29.9 percent,Estimate; Householder 25 to 34 years: - 30.0 to 34.9 percent,Margin of Error; Householder 25 to 34 years: - 30.0 to 34.9 percent,Estimate; Householder 25 to 34 years: - 35.0 percent or more,Margin of Error; Householder 25 to 34 years: - 35.0 percent or more,Estimate; Householder 25 to 34 years: - Not computed,Margin of Error; Householder 25 to 34 years: - Not computed,Estimate; Householder 35 to 64 years:,Margin of Error; Householder 35 to 64 years:,Estimate; Householder 35 to 64 years: - Less than 20.0 percent,Margin of Error; Householder 35 to 64 years: - Less than 20.0 percent,Estimate; Householder 35 to 64 years: - 20.0 to 24.9 percent,Margin of Error; Householder 35 to 64 years: - 20.0 to 24.9 percent,Estimate; Householder 35 to 64 years: - 25.0 to 29.9 percent,Margin of Error; Householder 35 to 64 years: - 25.0 to 29.9 percent,Estimate; Householder 35 to 64 years: - 30.0 to 34.9 percent,Margin of Error; Householder 35 to 64 years: - 30.0 to 34.9 percent,Estimate; Householder 35 to 64 years: - 35.0 percent or more,Margin of Error; Householder 35 to 64 years: - 35.0 percent or more,Estimate; Householder 35 to 64 years: - Not computed,Margin of Error; Householder 35 to 64 years: - Not computed,Estimate; Householder 65 years and over:,Margin of Error; Householder 65 years and over:,Estimate; Householder 65 years and over: - Less than 20.0 percent,Margin of Error; Householder 65 years and over: - Less than 20.0 percent,Estimate; Householder 65 years and over: - 20.0 to 24.9 percent,Margin of Error; Householder 65 years and over: - 20.0 to 24.9 percent,Estimate; Householder 65 years and over: - 25.0 to 29.9 percent,Margin of Error; Householder 65 years and over: - 25.0 to 29.9 percent,Estimate; Householder 65 years and over: - 30.0 to 34.9 percent,Margin of Error; Householder 65 years and over: - 30.0 to 34.9 percent,Estimate; Householder 65 years and over: - 35.0 percent or more,Margin of Error; Householder 65 years and over: - 35.0 percent or more,Estimate; Householder 65 years and over: - Not computed,Margin of Error; Householder 65 years and over: - Not computed
0500000US41001,41001,"Baker County, Oregon",2352,213,364,130,45,51,31,28,76,51,66,70,146,94,0,19,497,104,88,52,93,67,58,53,18,23,181,77,59,46,1107,170,328,122,87,62,106,56,65,35,348,105,173,71,384,90,75,43,3,6,54,32,26,17,172,70,54,31
0500000US41003,41003,"Benton County, Oregon",14038,653,4982,429,345,146,156,108,270,123,214,85,3435,397,562,175,3360,286,802,163,515,136,330,102,271,107,1291,217,151,76,4477,402,1172,218,378,121,450,136,339,128,1691,263,447,149,1219,190,223,92,114,65,121,55,78,44,602,180,81,50
0500000US41005,41005,"Clackamas County, Oregon",45701,1331,3389,426,426,142,312,144,383,171,343,160,1642,270,283,135,11732,560,2949,354,2037,350,1282,228,1147,258,3987,426,330,123,22630,950,5727,474,3343,472,2501,371,1875,291,8033,623,1151,230,7950,573,1071,248,687,173,587,179,547,153,4421,454,637,186
0500000US41007,41007,"Clatsop County, Oregon",5879,434,480,148,79,92,40,39,67,62,47,50,221,104,26,26,1595,223,377,119,174,90,168,106,123,67,667,194,86,62,3038,314,629,169,275,91,319,113,280,103,1209,259,326,121,766,121,123,74,74,42,73,46,56,35,353,85,87,43
0500000US41009,41009,"Columbia County, Oregon",4985,457,539,170,117,82,69,100,44,41,10,15,237,94,62,57,1067,167,143,57,145,70,60,40,51,36,622,158,46,41,2577,342,674,176,246,118,376,150,165,74,914,251,202,100,802,164,58,39,63,42,59,39,87,59,429,127,106,57
0500000US41011,41011,"Coos County, Oregon",8834,645,665,199,115,83,101,85,33,37,31,32,300,137,85,95,1782,220,310,115,326,124,72,51,123,108,805,208,146,97,4746,505,922,214,464,168,480,151,429,156,2072,305,379,138,1641,272,233,93,218,103,155,77,130,61,680,163,225,102
0500000US41013,41013,"Crook County, Oregon",2620,304,253,101,114,84,43,53,9,16,34,39,53,51,0,22,605,128,164,80,43,44,37,37,63,57,273,109,25,27,1298,203,248,111,160,99,86,57,64,46,631,168,109,60,464,149,38,33,51,43,0,22,77,62,153,98,145,99
0500000US41015,41015,"Curry County, Oregon",3333,411,225,123,67,62,0,22,0,22,33,54,59,49,66,78,555,137,157,108,133,87,61,57,49,51,155,90,0,22,1944,395,489,204,262,130,49,41,163,133,750,246,231,135,609,174,23,26,49,53,45,43,64,41,338,145,90,58
0500000US41017,41017,"Deschutes County, Oregon",22267,814,2212,401,249,164,273,151,339,173,292,174,986,257,73,84,5940,462,1180,221,675,179,978,267,576,182,2357,399,174,120,11197,656,2442,318,1613,348,881,208,979,221,4636,519,646,194,2918,335,261,113,309,108,294,136,260,118,1618,233,176,106
