GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Housing units with a mortgage:,Margin of Error; Housing units with a mortgage:,Estimate; Housing units with a mortgage: - Less than 10.0 percent,Margin of Error; Housing units with a mortgage: - Less than 10.0 percent,Estimate; Housing units with a mortgage: - 10.0 to 14.9 percent,Margin of Error; Housing units with a mortgage: - 10.0 to 14.9 percent,Estimate; Housing units with a mortgage: - 15.0 to 19.9 percent,Margin of Error; Housing units with a mortgage: - 15.0 to 19.9 percent,Estimate; Housing units with a mortgage: - 20.0 to 24.9 percent,Margin of Error; Housing units with a mortgage: - 20.0 to 24.9 percent,Estimate; Housing units with a mortgage: - 25.0 to 29.9 percent,Margin of Error; Housing units with a mortgage: - 25.0 to 29.9 percent,Estimate; Housing units with a mortgage: - 30.0 to 34.9 percent,Margin of Error; Housing units with a mortgage: - 30.0 to 34.9 percent,Estimate; Housing units with a mortgage: - 35.0 to 39.9 percent,Margin of Error; Housing units with a mortgage: - 35.0 to 39.9 percent,Estimate; Housing units with a mortgage: - 40.0 to 49.9 percent,Margin of Error; Housing units with a mortgage: - 40.0 to 49.9 percent,Estimate; Housing units with a mortgage: - 50.0 percent or more,Margin of Error; Housing units with a mortgage: - 50.0 percent or more,Estimate; Housing units with a mortgage: - Not computed,Margin of Error; Housing units with a mortgage: - Not computed,Estimate; Housing units without a mortgage:,Margin of Error; Housing units without a mortgage:,Estimate; Housing units without a mortgage: - Less than 10.0 percent,Margin of Error; Housing units without a mortgage: - Less than 10.0 percent,Estimate; Housing units without a mortgage: - 10.0 to 14.9 percent,Margin of Error; Housing units without a mortgage: - 10.0 to 14.9 percent,Estimate; Housing units without a mortgage: - 15.0 to 19.9 percent,Margin of Error; Housing units without a mortgage: - 15.0 to 19.9 percent,Estimate; Housing units without a mortgage: - 20.0 to 24.9 percent,Margin of Error; Housing units without a mortgage: - 20.0 to 24.9 percent,Estimate; Housing units without a mortgage: - 25.0 to 29.9 percent,Margin of Error; Housing units without a mortgage: - 25.0 to 29.9 percent,Estimate; Housing units without a mortgage: - 30.0 to 34.9 percent,Margin of Error; Housing units without a mortgage: - 30.0 to 34.9 percent,Estimate; Housing units without a mortgage: - 35.0 to 39.9 percent,Margin of Error; Housing units without a mortgage: - 35.0 to 39.9 percent,Estimate; Housing units without a mortgage: - 40.0 to 49.9 percent,Margin of Error; Housing units without a mortgage: - 40.0 to 49.9 percent,Estimate; Housing units without a mortgage: - 50.0 percent or more,Margin of Error; Housing units without a mortgage: - 50.0 percent or more,Estimate; Housing units without a mortgage: - Not computed,Margin of Error; Housing units without a mortgage: - Not computed
0500000US41001,41001,"Baker County, Oregon",4768,187,2422,220,164,64,229,66,539,122,460,101,207,71,111,49,84,39,191,68,416,90,21,29,2346,192,959,132,479,99,315,76,185,76,131,59,49,34,59,55,76,38,85,35,8,6
0500000US41003,41003,"Benton County, Oregon",19346,486,12167,462,575,156,1728,211,2443,270,1812,221,1555,236,1101,208,801,144,701,138,1439,234,12,16,7179,425,3447,291,1419,183,672,153,311,108,437,114,129,59,129,63,104,54,372,98,159,92
0500000US41005,41005,"Clackamas County, Oregon",100826,1307,74091,1260,3244,390,7170,503,11349,669,11646,584,9733,568,7681,585,5567,564,5723,529,11643,782,335,144,26735,795,10118,619,5418,453,3312,355,2139,301,1421,202,997,182,592,161,837,187,1596,199,305,114
0500000US41007,41007,"Clatsop County, Oregon",9870,313,6521,324,339,130,578,153,1081,207,865,163,742,157,723,166,318,103,545,129,1313,216,17,24,3349,299,1194,190,748,163,402,101,251,74,187,75,156,56,51,44,137,60,203,67,20,27
0500000US41009,41009,"Columbia County, Oregon",14084,505,9681,454,414,126,1003,184,1919,240,1647,219,1341,216,876,173,671,179,583,171,1184,206,43,30,4403,326,1718,234,1073,207,577,155,261,80,184,79,187,98,44,33,119,69,224,78,16,18
0500000US41011,41011,"Coos County, Oregon",17238,586,9077,538,441,130,1004,197,1431,242,1326,198,1155,235,880,181,641,195,811,209,1332,220,56,46,8161,490,2870,314,1377,213,1154,214,596,153,531,169,395,148,194,100,346,140,512,132,186,104
0500000US41013,41013,"Crook County, Oregon",6260,306,3869,297,97,53,344,114,630,169,517,152,394,132,369,120,375,120,458,126,659,148,26,34,2391,281,984,178,554,141,236,110,171,77,74,50,91,73,7,11,49,50,196,115,29,29
0500000US41015,41015,"Curry County, Oregon",7022,474,3814,412,176,115,352,101,434,137,533,187,355,121,444,157,160,97,346,106,1014,235,0,22,3208,381,1365,266,644,182,409,133,199,96,155,85,128,70,52,57,93,58,130,88,33,36
0500000US41017,41017,"Deschutes County, Oregon",42301,901,30014,848,968,240,2937,423,4186,494,4331,454,3729,501,2693,362,2167,346,2351,398,6450,590,202,122,12287,692,4438,449,2776,359,1432,280,906,194,669,179,416,127,282,87,381,129,887,186,100,70
0500000US41019,41019,"Douglas County, Oregon",30163,645,16885,648,709,165,1947,286,2462,306,2842,326,1977,290,1650,240,1083,226,1322,249,2815,288,78,49,13278,601,5166,337,2788,325,1659,255,931,169,586,146,352,94,482,162,566,201,669,191,79,51
0500000US41021,41021,"Gilliam County, Oregon",559,62,294,50,15,13,46,22,65,26,46,22,36,20,18,14,14,12,17,14,30,20,7,11,265,47,111,35,59,24,27,15,12,7,7,7,8,9,14,9,11,11,16,16,0,12
0500000US41023,41023,"Grant County, Oregon",2335,129,1136,146,114,65,145,59,177,50,110,37,112,42,95,66,77,36,132,72,171,49,3,4,1199,115,473,74,288,71,142,41,66,27,65,32,38,19,13,10,33,19,77,32,4,7
0500000US41025,41025,"Harney County, Oregon",2020,135,1021,126,130,50,169,70,165,60,136,66,97,55,95,47,29,27,53,38,137,62,10,16,999,154,490,117,126,63,104,60,46,29,52,36,81,52,17,20,14,15,63,47,6,8
0500000US41027,41027,"Hood River County, Oregon",5383,289,3376,264,127,85,270,84,460,106,458,126,562,141,475,168,304,126,220,86,485,159,15,25,2007,190,802,142,509,134,252,87,111,57,118,81,25,34,37,35,74,65,79,51,0,22
0500000US41029,41029,"Jackson County, Oregon",51747,1194,32573,1066,1398,224,2533,405,4505,501,4843,437,4206,404,3371,420,2225,284,2971,383,6338,563,183,104,19174,769,6477,460,3896,408,2491,342,1717,277,1067,216,760,205,448,138,742,167,1398,260,178,99
